fastq	Accession
4T1_invitro_rep1_GEX_S1_L001_R1_001.fastq.gz	GSM9065070
4T1_invitro_rep1_GEX_S1_L001_R2_001.fastq.gz	GSM9065070
4T1_invitro_rep1_GEX_S1_L002_R1_001.fastq.gz	GSM9065070
4T1_invitro_rep1_GEX_S1_L002_R2_001.fastq.gz	GSM9065070
4T1_invitro_rep1_T3_S1_L001_R1_001.fastq.gz	GSM9065071
4T1_invitro_rep1_T3_S1_L001_R2_001.fastq.gz	GSM9065071
4T1_invitro_rep1_TS_S3_L001_R1_001.fastq.gz	GSM9065072
4T1_invitro_rep1_TS_S3_L001_R2_001.fastq.gz	GSM9065072
4T1_invitro_rep1_TS_S3_L002_R1_001.fastq.gz	GSM9065072
4T1_invitro_rep1_TS_S3_L002_R2_001.fastq.gz	GSM9065072
4T1_invitro_rep2_GEX_S2_L001_R1_001.fastq.gz	GSM9065073
4T1_invitro_rep2_GEX_S2_L001_R2_001.fastq.gz	GSM9065073
4T1_invitro_rep2_GEX_S2_L002_R1_001.fastq.gz	GSM9065073
4T1_invitro_rep2_GEX_S2_L002_R2_001.fastq.gz	GSM9065073
4T1_invitro_rep2_T3_S2_L001_R1_001.fastq.gz	GSM9065074
4T1_invitro_rep2_T3_S2_L001_R2_001.fastq.gz	GSM9065074
4T1_invitro_rep2_TS_S4_L001_R1_001.fastq.gz	GSM9065075
4T1_invitro_rep2_TS_S4_L001_R2_001.fastq.gz	GSM9065075
4T1_invitro_rep2_TS_S4_L002_R1_001.fastq.gz	GSM9065075
4T1_invitro_rep2_TS_S4_L002_R2_001.fastq.gz	GSM9065075
