fastq	Accession
4T1_D10_rep2_GEX_S8_L001_R1_001.fastq.gz	GSM8826717
4T1_D10_rep2_GEX_S8_L001_R2_001.fastq.gz	GSM8826717
4T1_D10_rep2_GEX_S8_L002_R1_001.fastq.gz	GSM8826717
4T1_D10_rep2_GEX_S8_L002_R2_001.fastq.gz	GSM8826717
4T1_D10_rep2_TS_S28_L001_R1_001.fastq.gz	GSM8826718
4T1_D10_rep2_TS_S28_L001_R2_001.fastq.gz	GSM8826718
4T1_D10_rep2_TS_S28_L002_R1_001.fastq.gz	GSM8826718
4T1_D10_rep2_TS_S28_L002_R2_001.fastq.gz	GSM8826718
4T1_D10_rep2_CROP_S18_L001_R1_001.fastq.gz	GSM8826716
4T1_D10_rep2_CROP_S18_L001_R2_001.fastq.gz	GSM8826716
4T1_D10_rep2_CROP_S18_L002_R1_001.fastq.gz	GSM8826716
4T1_D10_rep2_CROP_S18_L002_R2_001.fastq.gz	GSM8826716
4T1_D14_rep1_GEX_S1_L001_R1_001.fastq.gz	GSM8826720
4T1_D14_rep1_GEX_S1_L001_R2_001.fastq.gz	GSM8826720
4T1_D14_rep1_GEX_S1_L002_R1_001.fastq.gz	GSM8826720
4T1_D14_rep1_GEX_S1_L002_R2_001.fastq.gz	GSM8826720
4T1_D14_rep1_TS_S21_L001_R1_001.fastq.gz	GSM8826721
4T1_D14_rep1_TS_S21_L001_R2_001.fastq.gz	GSM8826721
4T1_D14_rep1_TS_S21_L002_R1_001.fastq.gz	GSM8826721
4T1_D14_rep1_TS_S21_L002_R2_001.fastq.gz	GSM8826721
4T1_D14_rep1_CROP_S11_L001_R1_001.fastq.gz	GSM8826719
4T1_D14_rep1_CROP_S11_L001_R2_001.fastq.gz	GSM8826719
4T1_D14_rep1_CROP_S11_L002_R1_001.fastq.gz	GSM8826719
4T1_D14_rep1_CROP_S11_L002_R2_001.fastq.gz	GSM8826719
4T1_D14_rep2_GEX_S4_L001_R1_001.fastq.gz	GSM8826723
4T1_D14_rep2_GEX_S4_L001_R2_001.fastq.gz	GSM8826723
4T1_D14_rep2_GEX_S4_L002_R1_001.fastq.gz	GSM8826723
4T1_D14_rep2_GEX_S4_L002_R2_001.fastq.gz	GSM8826723
4T1_D14_rep2_TS_S24_L001_R1_001.fastq.gz	GSM8826724
4T1_D14_rep2_TS_S24_L001_R2_001.fastq.gz	GSM8826724
4T1_D14_rep2_TS_S24_L002_R1_001.fastq.gz	GSM8826724
4T1_D14_rep2_TS_S24_L002_R2_001.fastq.gz	GSM8826724
4T1_D14_rep2_CROP_S14_L001_R1_001.fastq.gz	GSM8826722
4T1_D14_rep2_CROP_S14_L001_R2_001.fastq.gz	GSM8826722
4T1_D14_rep2_CROP_S14_L002_R1_001.fastq.gz	GSM8826722
4T1_D14_rep2_CROP_S14_L002_R2_001.fastq.gz	GSM8826722
4T1_D14_rep3_GEX_S6_L001_R1_001.fastq.gz	GSM8826726
4T1_D14_rep3_GEX_S6_L001_R2_001.fastq.gz	GSM8826726
4T1_D14_rep3_GEX_S6_L002_R1_001.fastq.gz	GSM8826726
4T1_D14_rep3_GEX_S6_L002_R2_001.fastq.gz	GSM8826726
4T1_D14_rep3_TS_S26_L001_R1_001.fastq.gz	GSM8826727
4T1_D14_rep3_TS_S26_L001_R2_001.fastq.gz	GSM8826727
4T1_D14_rep3_TS_S26_L002_R1_001.fastq.gz	GSM8826727
4T1_D14_rep3_TS_S26_L002_R2_001.fastq.gz	GSM8826727
4T1_D14_rep3_CROP_S16_L001_R1_001.fastq.gz	GSM8826725
4T1_D14_rep3_CROP_S16_L001_R2_001.fastq.gz	GSM8826725
4T1_D14_rep3_CROP_S16_L002_R1_001.fastq.gz	GSM8826725
4T1_D14_rep3_CROP_S16_L002_R2_001.fastq.gz	GSM8826725
4T1_D14_rep4_GEX_S9_L001_R1_001.fastq.gz	GSM8826729
4T1_D14_rep4_GEX_S9_L001_R2_001.fastq.gz	GSM8826729
4T1_D14_rep4_GEX_S9_L002_R1_001.fastq.gz	GSM8826729
4T1_D14_rep4_GEX_S9_L002_R2_001.fastq.gz	GSM8826729
4T1_D14_rep4_TS_S29_L001_R1_001.fastq.gz	GSM8826730
4T1_D14_rep4_TS_S29_L001_R2_001.fastq.gz	GSM8826730
4T1_D14_rep4_TS_S29_L002_R1_001.fastq.gz	GSM8826730
4T1_D14_rep4_TS_S29_L002_R2_001.fastq.gz	GSM8826730
4T1_D14_rep4_CROP_S19_L001_R1_001.fastq.gz	GSM8826728
4T1_D14_rep4_CROP_S19_L001_R2_001.fastq.gz	GSM8826728
4T1_D14_rep4_CROP_S19_L002_R1_001.fastq.gz	GSM8826728
4T1_D14_rep4_CROP_S19_L002_R2_001.fastq.gz	GSM8826728
4T1_D21_rep1_GEX_S10_L001_R1_001.fastq.gz	GSM8826732
4T1_D21_rep1_GEX_S10_L001_R2_001.fastq.gz	GSM8826732
4T1_D21_rep1_GEX_S10_L002_R1_001.fastq.gz	GSM8826732
4T1_D21_rep1_GEX_S10_L002_R2_001.fastq.gz	GSM8826732
4T1_D21_rep1_TS_S30_L001_R1_001.fastq.gz	GSM8826733
4T1_D21_rep1_TS_S30_L001_R2_001.fastq.gz	GSM8826733
4T1_D21_rep1_TS_S30_L002_R1_001.fastq.gz	GSM8826733
4T1_D21_rep1_TS_S30_L002_R2_001.fastq.gz	GSM8826733
4T1_D21_rep1_CROP_S20_L001_R1_001.fastq.gz	GSM8826731
4T1_D21_rep1_CROP_S20_L001_R2_001.fastq.gz	GSM8826731
4T1_D21_rep1_CROP_S20_L002_R1_001.fastq.gz	GSM8826731
4T1_D21_rep1_CROP_S20_L002_R2_001.fastq.gz	GSM8826731
4T1_D28_rep1_GEX_S2_L001_R1_001.fastq.gz	GSM8826735
