	mean_triplets	rf	triplets_by_depth	solver	size	edit_frac	characters	missing_rate	entropy	states	indel_dist	iteration
0	0.9129285714285714	0.32196589769307926	[1.0, 1.0, 0.998, 0.997, 1.0, 1.0, 0.984, 0.895, 0.921, 0.925, 0.848, 0.868, 0.684, 0.661]	nj	1000	0.7	60	0.1	1.0	8	False	9
0	0.8981538461538461	0.2858575727181545	[1.0, 0.946, 0.878, 0.941, 0.971, 0.951, 0.993, 0.956, 0.923, 0.876, 0.825, 0.767, 0.649]	nj	1000	0.7	60	0.1	1.0	8	False	4
0	0.8827692307692309	0.3239719157472417	[1.0, 0.884, 1.0, 0.829, 1.0, 0.92, 0.95, 0.839, 0.837, 0.899, 0.77, 0.841, 0.707]	nj	1000	0.7	60	0.1	1.0	8	False	3
0	0.8845000000000001	0.3630892678034102	[1.0, 1.0, 0.806, 0.758, 0.988, 0.904, 0.905, 0.961, 0.853, 0.867, 0.943, 0.892, 0.757, 0.749]	nj	1000	0.7	60	0.1	1.0	8	False	7
0	0.8815384615384615	0.2728184553660983	[1.0, 0.946, 0.878, 0.987, 0.87, 0.921, 0.995, 0.955, 0.796, 0.866, 0.855, 0.749, 0.642]	nj	1000	0.7	60	0.1	1.0	10	False	4
0	0.8915000000000001	0.3149448345035105	[1.0, 1.0, 0.971, 0.984, 0.595, 0.796, 0.844, 0.965, 0.969, 0.93, 0.852, 0.752, 0.926, 0.897]	nj	1000	0.7	60	0.1	1.0	8	False	5
0	0.8717857142857142	0.34704112337011034	[1.0, 1.0, 0.912, 1.0, 0.987, 0.988, 0.827, 0.852, 0.867, 0.697, 0.761, 0.85, 0.818, 0.646]	nj	1000	0.7	60	0.1	1.0	8	False	6
0	0.9106428571428572	0.3229689067201605	[1.0, 1.0, 1.0, 0.997, 1.0, 0.98, 0.99, 0.895, 0.918, 0.929, 0.869, 0.899, 0.596, 0.676]	nj	1000	0.7	60	0.1	1.0	10	False	9
0	0.8631428571428571	0.35606820461384153	[1.0, 1.0, 0.912, 1.0, 0.988, 0.983, 0.827, 0.859, 0.814, 0.685, 0.764, 0.807, 0.813, 0.632]	nj	1000	0.7	60	0.1	1.0	10	False	6
0	0.9040714285714285	0.28284854563691075	[1.0, 0.89, 0.96, 0.992, 0.728, 0.97, 0.988, 0.947, 0.976, 0.635, 0.814, 0.906, 0.888, 0.963]	nj	1000	0.7	60	0.1	1.0	2	False	1
0	0.8890714285714286	0.3229689067201605	[1.0, 1.0, 0.999, 0.721, 1.0, 0.983, 0.976, 0.929, 0.833, 0.91, 0.845, 0.879, 0.681, 0.691]	nj	1000	0.7	60	0.1	1.0	6	False	9
