name,id,Stv_29,Stv_30,Stv_31,Stv_32,Stv_33,Stv_35,Stv_36,Stv_37,Stv_39,Stv_40,Stv_42,Stv_44,Stv_45,Stv_46,Stv_48,Stv_50,Stv_53,Stv_54
Trdc,ENSMUST00000196323.2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Ighd,ENSMUST00000194162.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Klhl14,ENSMUST00000122333.2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Tmem252,ENSMUST00000057243.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Dab2,ENSMUST00000080880.12,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
Epcam,ENSMUST00000053577.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Msh2,ENSMUST00000024967.14,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Camk4,ENSMUST00000042868.6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Themis,ENSMUST00000056097.11,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Aicda,ENSMUST00000043301.14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cd200r3,ENSMUST00000114611.10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
Gata2,ENSMUST00000015197.9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Btla,ENSMUST00000102802.10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
Serpinf1,ENSMUST00000000769.14,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Myc,ENSMUST00000161976.8,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Ifng,ENSMUST00000068592.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Cdh1,ENSMUST00000000312.12,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Cd96,ENSMUST00000023336.10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Cd8b1,ENSMUST00000065248.9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Exosc5,ENSMUST00000079634.8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Cd8a,ENSMUST00000066747.14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Adgre4,ENSMUST00000025004.7,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Clec14a,ENSMUST00000062254.4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pou2af1,ENSMUST00000034554.9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Cd274,ENSMUST00000016640.8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Col5a2,ENSMUST00000086430.5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Wnt7b,ENSMUST00000109424.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Ibsp,ENSMUST00000031246.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Htr1b,ENSMUST00000183482.2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
Prex2,ENSMUST00000027056.12,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Ankrd1,ENSMUST00000237142.2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Itgb4,ENSMUST00000169928.8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Cdca2,ENSMUST00000163100.8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Fcnb,ENSMUST00000028179.15,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Robo4,ENSMUST00000214185.3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Cd4,ENSMUST00000024044.7,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Fgf2,ENSMUST00000138563.9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
Foxp3,ENSMUST00000115739.9,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Prdm1,ENSMUST00000039174.11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Shank3,ENSMUST00000109309.9,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Twist1,ENSMUST00000049089.7,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Krt19,ENSMUST00000007317.8,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Ly6g,ENSMUST00000190262.2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Gpihbp1,ENSMUST00000023243.11,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Rpa2,ENSMUST00000102561.11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Flt3,ENSMUST00000049324.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Cyp11a1,ENSMUST00000034874.14,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Cd226,ENSMUST00000236828.2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Gpr39,ENSMUST00000027581.7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Stxbp6,ENSMUST00000053768.14,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Lef1,ENSMUST00000029611.14,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Nes,ENSMUST00000090973.12,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Ms4a4b,ENSMUST00000035258.10,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ms4a2,ENSMUST00000186978.7,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Foxm1,ENSMUST00000073316.13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Dscc1,ENSMUST00000110231.2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Cyp4b1,ENSMUST00000102707.10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Bcl11b,ENSMUST00000066060.11,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Vcan,ENSMUST00000109546.9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Ebf1,ENSMUST00000101326.10,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
Zeb1,ENSMUST00000025081.13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Arhgef37,ENSMUST00000171629.3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Havcr2,ENSMUST00000020668.15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Klrk1,ENSMUST00000032252.8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Trp63,ENSMUST00000115310.9,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Fgf1,ENSMUST00000040647.11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Krt79,ENSMUST00000023799.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
Ptprb,ENSMUST00000218553.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Tspan7,ENSMUST00000115526.2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Sdc1,ENSMUST00000020911.14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
