Batch	Correct_edit	Indels	Substitutions_amplicon	Reads_aligned_all_amplicons	Reads_aligned_reference	Reads_aligned_amplicon	dir
REP1_HEKcells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18	51.6955892986262	0.327187274041938	0.744757772957339	55320	25541	28598	CRISPRessoBatch_on_HEKcells_EMX1endogenousSeq_EMX1
REP1_HEKcells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18	56.7665481631962	0.257321821567632	1.02420856610801	59070	25285	33532	CRISPRessoBatch_on_HEKcells_EMX1endogenousSeq_EMX1
REP2_HEKcells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18	45.5559934083256	0.209572257648492	0.578562728380024	55828	29534	25433	CRISPRessoBatch_on_HEKcells_EMX1endogenousSeq_EMX1
REP2_HEKcells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18	49.8851134939423	0.161885531263055	0.798983428491853	57448	28628	28658	CRISPRessoBatch_on_HEKcells_EMX1endogenousSeq_EMX1
REP3_HEKcells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18	54.2211055276382	0.117252931323283	0.871021775544389	5970	2662	3237	CRISPRessoBatch_on_HEKcells_EMX1endogenousSeq_EMX1
REP3_HEKcells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18	57.8016029978141	0.260226917872385	1.03570313313209	19214	8073	11106	CRISPRessoBatch_on_HEKcells_EMX1endogenousSeq_EMX1
REP1_HEKcells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34	42.0538606585118	0.18533739463972	1.04433592805686	62049	35955	26094	CRISPRessoBatch_on_HEKcells_HEK3endogenousSeq_HEK3
REP1_HEKcells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34	46.4705677706652	0.0834956860562204	1.56380462009463	57488	30773	26715	CRISPRessoBatch_on_HEKcells_HEK3endogenousSeq_HEK3
REP2_HEKcells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34	31.01875	0.1703125	1.240625	64000	44148	19852	CRISPRessoBatch_on_HEKcells_HEK3endogenousSeq_HEK3
REP2_HEKcells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34	39.0633026136879	0.0211512313038223	1.03943193835927	66190	40333	25856	CRISPRessoBatch_on_HEKcells_HEK3endogenousSeq_HEK3
REP3_HEKcells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34	43.3256481437915	0.127040888345175	1.51508022396838	21253	12045	9208	CRISPRessoBatch_on_HEKcells_HEK3endogenousSeq_HEK3
REP3_HEKcells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34	50.2487328702835	0.0328515111695138	1.2999812277079	21308	10600	10707	CRISPRessoBatch_on_HEKcells_HEK3endogenousSeq_HEK3
REP1_HEKcells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14	52.2942425625657	0.203425486732689	1.90227638081251	100774	48075	52699	CRISPRessoBatch_on_HEKcells_RNF2endogenousSeq_RNF2
REP1_HEKcells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14	50.2387502456278	0.0383179406563176	1.73609746512085	101780	50647	51133	CRISPRessoBatch_on_HEKcells_RNF2endogenousSeq_RNF2
REP2_HEKcells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14	42.4397190983647	0.0903599666060993	1.51451161420223	101815	58588	43210	CRISPRessoBatch_on_HEKcells_RNF2endogenousSeq_RNF2
REP2_HEKcells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14	41.39247565527	0.0311011968598516	1.90682510402814	93244	54617	38596	CRISPRessoBatch_on_HEKcells_RNF2endogenousSeq_RNF2
REP3_HEKcells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14	44.0251759933182	0.0894881279083641	1.71817205584059	33524	18765	14759	CRISPRessoBatch_on_HEKcells_RNF2endogenousSeq_RNF2
REP3_HEKcells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14	45.8997408040589	0.0110296145149727	1.81437158771301	18133	9810	8323	CRISPRessoBatch_on_HEKcells_RNF2endogenousSeq_RNF2
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_14	68.4434831027541	0.115646549877929	0.839508288002741	46694	14729	31959	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_16	68.7000813047013	0.0789133865799417	1.03304796977378	41818	13087	28729	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_18	72.2345916405222	0.173734102486253	0.728671187126809	59286	16459	42825	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_20	70.7812450798249	0.151147778442548	0.714803035551217	63514	18558	44956	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_22	67.6016211227479	0.110348701897998	0.660085871353477	49842	16131	33694	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_14	62.5825350328557	0.213759797324044	0.61277808566226	63155	23616	39524	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_16	65.0427063254876	0.109639427752922	0.679057100921325	56549	19734	36781	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_18	63.7503510813305	0.128395458010673	0.728242988404285	49846	18039	31777	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_20	67.0351633252139	0.287302479545313	0.802573230903754	64044	21086	42932	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_22	64.8633246934686	0.115810952407213	0.819868012279638	54399	19098	35285	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_14	55.9532184312346	0.032975729862821	0.685895181146676	45488	20035	25452	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_16	54.0214698596202	0.023121387283237	0.891824938067713	30275	13920	16355	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_18	51.6754745363498	0.0752132692041249	0.53638936721889	50523	24413	26108	CRISPRessoBatch_on_OrthoTS1_EMX1_v2
