fastq	Accession
REP1_HEKcells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052711
REP1_HEKcells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052710
REP1_HEKcells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052709
REP1_HEKcells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052708
REP1_HEKcells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052705
REP1_HEKcells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052704
REP1_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052688
REP1_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052687
REP1_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052769
REP1_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052501
REP1_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052707
REP1_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052587
REP1_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052412
REP1_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052796
REP1_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052785
REP1_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052581
REP1_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052686
REP1_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052675
REP1_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052664
REP1_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052653
REP1_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052642
REP1_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052564
REP1_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052553
REP1_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052964
REP1_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052953
REP1_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052942
REP1_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052768
REP1_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052757
REP1_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052932
REP1_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052921
REP1_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052636
REP1_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052625
REP1_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052614
REP1_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052534
REP1_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052523
REP1_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052512
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052500
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052752
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052741
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052729
REP1_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052901
REP1_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052890
REP1_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052486
REP1_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052475
REP1_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052730
REP1_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052718
REP1_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052706
REP1_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052875
REP1_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052864
REP1_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052699
REP1_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34053065
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34053054
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052848
REP1_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052837
