experiment,clone,intID,cells,alleles,correct,detected,accuracy,recall
10x_invitro,1,intID1077,3055,9165,9027,9039,99.86724195154332,98.62520458265139
10x_invitro,1,intID1224,3055,9165,9024,9048,99.73474801061008,98.72340425531915
10x_invitro,1,intID1243,3055,9165,9006,9018,99.86693280106454,98.39607201309329
10x_invitro,1,intID1283,3055,9165,9033,9051,99.80112694729864,98.75613747954174
10x_invitro,1,intID1631,3055,9165,9069,9081,99.86785596299967,99.08346972176759
10x_invitro,1,intID2054,3055,9165,9042,9045,99.96683250414594,98.69067103109657
10x_invitro,1,intID232,3055,9165,9006,9018,99.86693280106454,98.39607201309329
10x_invitro,1,intID811,3055,9165,9006,9030,99.73421926910298,98.52700490998363
10x_invitro,2,intID1011,1646,4938,4845,4845,100.0,98.11664641555285
10x_invitro,2,intID1088,1646,4938,4896,4896,100.0,99.1494532199271
10x_invitro,2,intID1250,1646,4938,4884,4884,100.0,98.90643985419199
10x_invitro,2,intID1294,1646,4938,4866,4866,100.0,98.5419198055893
10x_invitro,2,intID1330,1646,4938,4875,4875,100.0,98.72417982989064
10x_invitro,2,intID1427,1646,4938,4779,4779,100.0,96.78007290400971
10x_invitro,2,intID1469,1646,4938,4881,4881,100.0,98.8456865127582
10x_invitro,2,intID1584,1646,4938,4887,4887,100.0,98.96719319562575
10x_invitro,2,intID1684,1646,4938,4869,4869,100.0,98.6026731470231
10x_invitro,2,intID1862,1646,4938,4893,4893,100.0,99.08869987849332
10x_invitro,2,intID2115,1646,4938,4611,4611,100.0,93.37788578371811
10x_invitro,2,intID2129,1646,4938,4875,4875,100.0,98.72417982989064
10x_invitro,2,intID343,1646,4938,4884,4884,100.0,98.90643985419199
10x_invitro,2,intID406,1646,4938,4902,4902,100.0,99.27095990279466
10x_invitro,2,intID493,1646,4938,4890,4890,100.0,99.02794653705953
10x_invitro,2,intID520,1646,4938,4869,4869,100.0,98.6026731470231
10x_invitro,2,intID642,1646,4938,4902,4902,100.0,99.27095990279466
10x_invitro,2,intID812,1646,4938,4908,4908,100.0,99.3924665856622
10x_invitro,2,intID974,1646,4938,4884,4884,100.0,98.90643985419199
10x_invitro,3,intID618,1202,3606,3606,3606,100.0,100.0
10x_invitro,3,intID628,1202,3606,3606,3606,100.0,100.0
10x_invitro,4,intID1224,980,2940,2925,2925,100.0,99.48979591836735
10x_invitro,4,intID1243,980,2940,2913,2916,99.8971193415638,99.18367346938776
10x_invitro,4,intID1283,980,2940,2895,2895,100.0,98.46938775510205
10x_invitro,4,intID1919,980,2940,2784,2784,100.0,94.6938775510204
10x_invitro,4,intID2054,980,2940,2835,2835,100.0,96.42857142857143
10x_invitro,4,intID232,980,2940,2874,2880,99.79166666666667,97.95918367346938
10x_invitro,4,intID249,980,2940,2883,2883,100.0,98.06122448979592
10x_invitro,4,intID811,980,2940,2850,2853,99.89484752891693,97.0408163265306
merfish_invitro,1,intID1077,3350,10050,7741,7788,99.3965074473549,77.49253731343285
merfish_invitro,1,intID1224,3350,10050,8142,8181,99.52328566189952,81.40298507462687
merfish_invitro,1,intID1243,3350,10050,7723,7820,98.75959079283886,77.81094527363183
merfish_invitro,1,intID1283,3350,10050,8139,8189,99.38942483819758,81.48258706467661
merfish_invitro,1,intID1631,3350,10050,7728,7739,99.85786277296809,77.0049751243781
merfish_invitro,1,intID2054,3350,10050,8245,8278,99.60135298381252,82.3681592039801
merfish_invitro,1,intID232,3350,10050,7491,7527,99.52172180151454,74.8955223880597
merfish_invitro,1,intID811,3350,10050,7661,7709,99.37735114800881,76.70646766169155
