bits,blank,intID
"['r1', 'r2', 'r3', 'r4', 'r5', 'r21']",FALSE,intID1
"['r1', 'r2', 'r3', 'r4', 'r7', 'r9']",FALSE,intID2
"['r1', 'r2', 'r3', 'r4', 'r10', 'r19']",FALSE,intID3
"['r1', 'r2', 'r3', 'r4', 'r11', 'r17']",FALSE,intID4
"['r1', 'r2', 'r3', 'r4', 'r12', 'r14']",FALSE,intID5
"['r1', 'r2', 'r3', 'r4', 'r13', 'r15']",FALSE,intID6
"['r1', 'r2', 'r3', 'r4', 'r16', 'r18']",FALSE,intID7
"['r1', 'r2', 'r3', 'r5', 'r12', 'r19']",FALSE,intID8
"['r1', 'r2', 'r3', 'r5', 'r13', 'r18']",FALSE,intID9
"['r1', 'r2', 'r3', 'r5', 'r15', 'r17']",FALSE,intID10
"['r1', 'r2', 'r3', 'r6', 'r9', 'r21']",FALSE,intID11
"['r1', 'r2', 'r3', 'r6', 'r10', 'r11']",FALSE,intID12
"['r1', 'r2', 'r3', 'r6', 'r12', 'r13']",FALSE,intID13
"['r1', 'r2', 'r3', 'r6', 'r14', 'r15']",FALSE,intID14
"['r1', 'r2', 'r3', 'r6', 'r16', 'r17']",FALSE,intID15
"['r1', 'r2', 'r3', 'r6', 'r18', 'r19']",FALSE,intID16
"['r1', 'r2', 'r3', 'r7', 'r10', 'r17']",FALSE,intID17
"['r1', 'r2', 'r3', 'r7', 'r11', 'r15']",FALSE,intID18
"['r1', 'r2', 'r3', 'r7', 'r14', 'r18']",FALSE,intID19
"['r1', 'r2', 'r3', 'r7', 'r16', 'r19']",FALSE,intID20
"['r1', 'r2', 'r3', 'r8', 'r10', 'r12']",FALSE,intID21
"['r1', 'r2', 'r3', 'r8', 'r13', 'r14']",FALSE,intID22
"['r1', 'r2', 'r3', 'r8', 'r15', 'r16']",FALSE,intID23
"['r1', 'r2', 'r3', 'r8', 'r17', 'r18']",FALSE,intID24
"['r1', 'r2', 'r3', 'r8', 'r20', 'r21']",FALSE,intID25
"['r1', 'r2', 'r3', 'r9', 'r11', 'r16']",FALSE,intID26
"['r1', 'r2', 'r3', 'r9', 'r12', 'r15']",FALSE,intID27
"['r1', 'r2', 'r3', 'r9', 'r13', 'r17']",FALSE,intID28
"['r1', 'r2', 'r3', 'r9', 'r14', 'r19']",FALSE,intID29
"['r1', 'r2', 'r3', 'r10', 'r14', 'r20']",FALSE,intID30
"['r1', 'r2', 'r3', 'r11', 'r12', 'r20']",FALSE,intID31
"['r1', 'r2', 'r3', 'r11', 'r14', 'r21']",FALSE,intID32
"['r1', 'r2', 'r3', 'r13', 'r16', 'r21']",FALSE,intID33
"['r1', 'r2', 'r3', 'r17', 'r19', 'r21']",FALSE,intID34
"['r1', 'r2', 'r4', 'r5', 'r10', 'r11']",FALSE,intID35
"['r1', 'r2', 'r4', 'r5', 'r12', 'r13']",FALSE,intID36
"['r1', 'r2', 'r4', 'r5', 'r14', 'r15']",FALSE,intID37
"['r1', 'r2', 'r4', 'r5', 'r16', 'r17']",FALSE,intID38
"['r1', 'r2', 'r4', 'r6', 'r7', 'r21']",FALSE,intID39
"['r1', 'r2', 'r4', 'r6', 'r8', 'r20']",FALSE,intID40
"['r1', 'r2', 'r4', 'r6', 'r11', 'r15']",FALSE,intID41
"['r1', 'r2', 'r4', 'r6', 'r12', 'r16']",FALSE,intID42
"['r1', 'r2', 'r4', 'r6', 'r13', 'r19']",FALSE,intID43
"['r1', 'r2', 'r4', 'r6', 'r14', 'r18']",FALSE,intID44
"['r1', 'r2', 'r4', 'r7', 'r11', 'r12']",FALSE,intID45
"['r1', 'r2', 'r4', 'r7', 'r13', 'r16']",FALSE,intID46
"['r1', 'r2', 'r4', 'r7', 'r15', 'r18']",FALSE,intID47
"['r1', 'r2', 'r4', 'r7', 'r17', 'r19']",FALSE,intID48
"['r1', 'r2', 'r4', 'r8', 'r10', 'r13']",FALSE,intID49
"['r1', 'r2', 'r4', 'r8', 'r11', 'r18']",FALSE,intID50
"['r1', 'r2', 'r4', 'r8', 'r12', 'r19']",FALSE,intID51
"['r1', 'r2', 'r4', 'r8', 'r14', 'r16']",FALSE,intID52
"['r1', 'r2', 'r4', 'r8', 'r15', 'r17']",FALSE,intID53
"['r1', 'r2', 'r4', 'r9', 'r10', 'r12']",FALSE,intID54
"['r1', 'r2', 'r4', 'r9', 'r11', 'r19']",FALSE,intID55
"['r1', 'r2', 'r4', 'r9', 'r13', 'r14']",FALSE,intID56
"['r1', 'r2', 'r4', 'r9', 'r15', 'r16']",FALSE,intID57
"['r1', 'r2', 'r4', 'r9', 'r17', 'r18']",FALSE,intID58
"['r1', 'r2', 'r4', 'r9', 'r20', 'r21']",FALSE,intID59
"['r1', 'r2', 'r4', 'r10', 'r15', 'r21']",FALSE,intID60
"['r1', 'r2', 'r4', 'r10', 'r18', 'r20']",FALSE,intID61
"['r1', 'r2', 'r4', 'r12', 'r15', 'r20']",FALSE,intID62
"['r1', 'r2', 'r4', 'r13', 'r17', 'r21']",FALSE,intID63
"['r1', 'r2', 'r4', 'r14', 'r19', 'r21']",FALSE,intID64
"['r1', 'r2', 'r4', 'r16', 'r19', 'r20']",FALSE,intID65
"['r1', 'r2', 'r5', 'r6', 'r12', 'r18']",FALSE,intID66
"['r1', 'r2', 'r5', 'r6', 'r13', 'r15']",FALSE,intID67
"['r1', 'r2', 'r5', 'r6', 'r14', 'r17']",FALSE,intID68
"['r1', 'r2', 'r5', 'r6', 'r16', 'r19']",FALSE,intID69
"['r1', 'r2', 'r5', 'r6', 'r20', 'r21']",FALSE,intID70
"['r1', 'r2', 'r5', 'r7', 'r9', 'r21']",FALSE,intID71
"['r1', 'r2', 'r5', 'r7', 'r10', 'r18']",FALSE,intID72
"['r1', 'r2', 'r5', 'r7', 'r11', 'r16']",FALSE,intID73
"['r1', 'r2', 'r5', 'r7', 'r12', 'r15']",FALSE,intID74
"['r1', 'r2', 'r5', 'r7', 'r13', 'r17']",FALSE,intID75
"['r1', 'r2', 'r5', 'r7', 'r14', 'r19']",FALSE,intID76
"['r1', 'r2', 'r5', 'r8', 'r9', 'r20']",FALSE,intID77
"['r1', 'r2', 'r5', 'r8', 'r10', 'r14']",FALSE,intID78
"['r1', 'r2', 'r5', 'r8', 'r11', 'r12']",FALSE,intID79
"['r1', 'r2', 'r5', 'r8', 'r13', 'r16']",FALSE,intID80
"['r1', 'r2', 'r5', 'r8', 'r15', 'r18']",FALSE,intID81
"['r1', 'r2', 'r5', 'r8', 'r17', 'r19']",FALSE,intID82
"['r1', 'r2', 'r5', 'r9', 'r10', 'r17']",FALSE,intID83
"['r1', 'r2', 'r5', 'r9', 'r11', 'r15']",FALSE,intID84
"['r1', 'r2', 'r5', 'r9', 'r12', 'r16']",FALSE,intID85
"['r1', 'r2', 'r5', 'r9', 'r13', 'r19']",FALSE,intID86
"['r1', 'r2', 'r5', 'r9', 'r14', 'r18']",FALSE,intID87
"['r1', 'r2', 'r5', 'r10', 'r12', 'r21']",FALSE,intID88
"['r1', 'r2', 'r5', 'r11', 'r19', 'r21']",FALSE,intID89
"['r1', 'r2', 'r5', 'r13', 'r14', 'r21']",FALSE,intID90
"['r1', 'r2', 'r5', 'r15', 'r16', 'r21']",FALSE,intID91
"['r1', 'r2', 'r5', 'r17', 'r18', 'r20']",FALSE,intID92
"['r1', 'r2', 'r6', 'r7', 'r10', 'r12']",FALSE,intID93
"['r1', 'r2', 'r6', 'r7', 'r11', 'r19']",FALSE,intID94
"['r1', 'r2', 'r6', 'r7', 'r13', 'r14']",FALSE,intID95
"['r1', 'r2', 'r6', 'r7', 'r15', 'r16']",FALSE,intID96
"['r1', 'r2', 'r6', 'r7', 'r17', 'r18']",FALSE,intID97
"['r1', 'r2', 'r6', 'r8', 'r10', 'r18']",FALSE,intID98
"['r1', 'r2', 'r6', 'r8', 'r11', 'r16']",FALSE,intID99
"['r1', 'r2', 'r6', 'r8', 'r12', 'r15']",FALSE,intID100
"['r1', 'r2', 'r6', 'r8', 'r13', 'r17']",FALSE,intID101
"['r1', 'r2', 'r6', 'r8', 'r14', 'r19']",FALSE,intID102
"['r1', 'r2', 'r6', 'r9', 'r10', 'r14']",FALSE,intID103
"['r1', 'r2', 'r6', 'r9', 'r11', 'r12']",FALSE,intID104
"['r1', 'r2', 'r6', 'r9', 'r13', 'r16']",FALSE,intID105
"['r1', 'r2', 'r6', 'r9', 'r15', 'r18']",FALSE,intID106
"['r1', 'r2', 'r6', 'r9', 'r17', 'r19']",FALSE,intID107
"['r1', 'r2', 'r6', 'r10', 'r13', 'r21']",FALSE,intID108
"['r1', 'r2', 'r6', 'r10', 'r16', 'r20']",FALSE,intID109
"['r1', 'r2', 'r6', 'r11', 'r14', 'r20']",FALSE,intID110
"['r1', 'r2', 'r6', 'r11', 'r18', 'r21']",FALSE,intID111
"['r1', 'r2', 'r6', 'r15', 'r19', 'r20']",FALSE,intID112
"['r1', 'r2', 'r7', 'r8', 'r10', 'r11']",FALSE,intID113
"['r1', 'r2', 'r7', 'r8', 'r12', 'r13']",FALSE,intID114
"['r1', 'r2', 'r7', 'r8', 'r14', 'r15']",FALSE,intID115
"['r1', 'r2', 'r7', 'r8', 'r16', 'r17']",FALSE,intID116
"['r1', 'r2', 'r7', 'r8', 'r18', 'r19']",FALSE,intID117
"['r1', 'r2', 'r7', 'r9', 'r12', 'r19']",FALSE,intID118
"['r1', 'r2', 'r7', 'r9', 'r13', 'r18']",FALSE,intID119
"['r1', 'r2', 'r7', 'r9', 'r14', 'r16']",FALSE,intID120
"['r1', 'r2', 'r7', 'r10', 'r19', 'r20']",FALSE,intID121
"['r1', 'r2', 'r7', 'r11', 'r17', 'r21']",FALSE,intID122
"['r1', 'r2', 'r7', 'r12', 'r14', 'r21']",FALSE,intID123
"['r1', 'r2', 'r7', 'r13', 'r15', 'r21']",FALSE,intID124
"['r1', 'r2', 'r7', 'r16', 'r18', 'r21']",FALSE,intID125
"['r1', 'r2', 'r8', 'r9', 'r11', 'r13']",FALSE,intID126
"['r1', 'r2', 'r8', 'r9', 'r12', 'r18']",FALSE,intID127
"['r1', 'r2', 'r8', 'r9', 'r14', 'r17']",FALSE,intID128
"['r1', 'r2', 'r8', 'r9', 'r16', 'r19']",FALSE,intID129
"['r1', 'r2', 'r8', 'r10', 'r17', 'r21']",FALSE,intID130
"['r1', 'r2', 'r8', 'r11', 'r15', 'r21']",FALSE,intID131
"['r1', 'r2', 'r8', 'r12', 'r16', 'r21']",FALSE,intID132
"['r1', 'r2', 'r8', 'r13', 'r19', 'r21']",FALSE,intID133
"['r1', 'r2', 'r8', 'r14', 'r18', 'r21']",FALSE,intID134
"['r1', 'r2', 'r9', 'r10', 'r11', 'r21']",FALSE,intID135
"['r1', 'r2', 'r9', 'r14', 'r15', 'r21']",FALSE,intID136
"['r1', 'r2', 'r9', 'r16', 'r17', 'r21']",FALSE,intID137
"['r1', 'r2', 'r9', 'r18', 'r19', 'r21']",FALSE,intID138
"['r1', 'r2', 'r10', 'r11', 'r12', 'r13']",FALSE,intID139
"['r1', 'r2', 'r10', 'r11', 'r14', 'r16']",FALSE,intID140
"['r1', 'r2', 'r10', 'r11', 'r15', 'r19']",FALSE,intID141
"['r1', 'r2', 'r10', 'r11', 'r17', 'r18']",FALSE,intID142
"['r1', 'r2', 'r10', 'r12', 'r14', 'r18']",FALSE,intID143
"['r1', 'r2', 'r10', 'r12', 'r15', 'r16']",FALSE,intID144
"['r1', 'r2', 'r10', 'r12', 'r17', 'r19']",FALSE,intID145
"['r1', 'r2', 'r10', 'r13', 'r14', 'r19']",FALSE,intID146
"['r1', 'r2', 'r10', 'r13', 'r15', 'r18']",FALSE,intID147
"['r1', 'r2', 'r10', 'r14', 'r15', 'r17']",FALSE,intID148
"['r1', 'r2', 'r10', 'r16', 'r19', 'r21']",FALSE,intID149
"['r1', 'r2', 'r11', 'r12', 'r14', 'r17']",FALSE,intID150
"['r1', 'r2', 'r11', 'r12', 'r15', 'r18']",FALSE,intID151
"['r1', 'r2', 'r11', 'r13', 'r14', 'r15']",FALSE,intID152
"['r1', 'r2', 'r11', 'r13', 'r16', 'r18']",FALSE,intID153
"['r1', 'r2', 'r11', 'r13', 'r17', 'r19']",FALSE,intID154
"['r1', 'r2', 'r11', 'r13', 'r20', 'r21']",FALSE,intID155
"['r1', 'r2', 'r11', 'r15', 'r16', 'r17']",FALSE,intID156
"['r1', 'r2', 'r12', 'r13', 'r14', 'r16']",FALSE,intID157
"['r1', 'r2', 'r12', 'r13', 'r18', 'r19']",FALSE,intID158
"['r1', 'r2', 'r12', 'r14', 'r19', 'r20']",FALSE,intID159
"['r1', 'r2', 'r12', 'r15', 'r17', 'r21']",FALSE,intID160
"['r1', 'r2', 'r12', 'r16', 'r17', 'r18']",FALSE,intID161
"['r1', 'r2', 'r12', 'r18', 'r20', 'r21']",FALSE,intID162
"['r1', 'r2', 'r13', 'r15', 'r16', 'r19']",FALSE,intID163
"['r1', 'r2', 'r14', 'r16', 'r20', 'r21']",FALSE,intID164
"['r1', 'r2', 'r15', 'r17', 'r18', 'r19']",FALSE,intID165
"['r1', 'r3', 'r4', 'r5', 'r10', 'r14']",FALSE,intID166
"['r1', 'r3', 'r4', 'r5', 'r11', 'r12']",FALSE,intID167
"['r1', 'r3', 'r4', 'r5', 'r13', 'r16']",FALSE,intID168
"['r1', 'r3', 'r4', 'r5', 'r15', 'r18']",FALSE,intID169
"['r1', 'r3', 'r4', 'r5', 'r17', 'r19']",FALSE,intID170
"['r1', 'r3', 'r4', 'r6', 'r8', 'r21']",FALSE,intID171
"['r1', 'r3', 'r4', 'r6', 'r10', 'r12']",FALSE,intID172
"['r1', 'r3', 'r4', 'r6', 'r11', 'r19']",FALSE,intID173
"['r1', 'r3', 'r4', 'r6', 'r13', 'r14']",FALSE,intID174
"['r1', 'r3', 'r4', 'r6', 'r15', 'r16']",FALSE,intID175
"['r1', 'r3', 'r4', 'r6', 'r17', 'r18']",FALSE,intID176
"['r1', 'r3', 'r4', 'r7', 'r10', 'r13']",FALSE,intID177
"['r1', 'r3', 'r4', 'r7', 'r11', 'r18']",FALSE,intID178
"['r1', 'r3', 'r4', 'r7', 'r12', 'r19']",FALSE,intID179
"['r1', 'r3', 'r4', 'r7', 'r14', 'r16']",FALSE,intID180
"['r1', 'r3', 'r4', 'r7', 'r20', 'r21']",FALSE,intID181
"['r1', 'r3', 'r4', 'r8', 'r9', 'r20']",FALSE,intID182
"['r1', 'r3', 'r4', 'r8', 'r10', 'r18']",FALSE,intID183
"['r1', 'r3', 'r4', 'r8', 'r11', 'r16']",FALSE,intID184
"['r1', 'r3', 'r4', 'r8', 'r13', 'r17']",FALSE,intID185
"['r1', 'r3', 'r4', 'r8', 'r14', 'r19']",FALSE,intID186
"['r1', 'r3', 'r4', 'r9', 'r10', 'r16']",FALSE,intID187
"['r1', 'r3', 'r4', 'r9', 'r11', 'r14']",FALSE,intID188
"['r1', 'r3', 'r4', 'r9', 'r12', 'r17']",FALSE,intID189
"['r1', 'r3', 'r4', 'r9', 'r13', 'r18']",FALSE,intID190
"['r1', 'r3', 'r4', 'r9', 'r15', 'r19']",FALSE,intID191
"['r1', 'r3', 'r4', 'r10', 'r11', 'r20']",FALSE,intID192
"['r1', 'r3', 'r4', 'r10', 'r17', 'r21']",FALSE,intID193
"['r1', 'r3', 'r4', 'r12', 'r16', 'r21']",FALSE,intID194
"['r1', 'r3', 'r4', 'r14', 'r15', 'r20']",FALSE,intID195
"['r1', 'r3', 'r4', 'r18', 'r19', 'r20']",FALSE,intID196
"['r1', 'r3', 'r5', 'r6', 'r7', 'r21']",FALSE,intID197
"['r1', 'r3', 'r5', 'r6', 'r10', 'r18']",FALSE,intID198
"['r1', 'r3', 'r5', 'r6', 'r11', 'r16']",FALSE,intID199
"['r1', 'r3', 'r5', 'r6', 'r13', 'r17']",FALSE,intID200
"['r1', 'r3', 'r5', 'r6', 'r14', 'r19']",FALSE,intID201
"['r1', 'r3', 'r5', 'r7', 'r9', 'r20']",FALSE,intID202
"['r1', 'r3', 'r5', 'r7', 'r10', 'r11']",FALSE,intID203
"['r1', 'r3', 'r5', 'r7', 'r12', 'r13']",FALSE,intID204
"['r1', 'r3', 'r5', 'r7', 'r14', 'r15']",FALSE,intID205
"['r1', 'r3', 'r5', 'r8', 'r10', 'r17']",FALSE,intID206
"['r1', 'r3', 'r5', 'r8', 'r11', 'r15']",FALSE,intID207
"['r1', 'r3', 'r5', 'r8', 'r12', 'r16']",FALSE,intID208
"['r1', 'r3', 'r5', 'r8', 'r13', 'r19']",FALSE,intID209
"['r1', 'r3', 'r5', 'r8', 'r14', 'r18']",FALSE,intID210
"['r1', 'r3', 'r5', 'r9', 'r10', 'r12']",FALSE,intID211
"['r1', 'r3', 'r5', 'r9', 'r13', 'r14']",FALSE,intID212
"['r1', 'r3', 'r5', 'r9', 'r15', 'r16']",FALSE,intID213
"['r1', 'r3', 'r5', 'r9', 'r17', 'r18']",FALSE,intID214
"['r1', 'r3', 'r5', 'r11', 'r13', 'r20']",FALSE,intID215
"['r1', 'r3', 'r5', 'r15', 'r19', 'r21']",FALSE,intID216
"['r1', 'r3', 'r5', 'r16', 'r19', 'r20']",FALSE,intID217
"['r1', 'r3', 'r5', 'r18', 'r20', 'r21']",FALSE,intID218
"['r1', 'r3', 'r6', 'r7', 'r10', 'r16']",FALSE,intID219
"['r1', 'r3', 'r6', 'r7', 'r11', 'r14']",FALSE,intID220
"['r1', 'r3', 'r6', 'r7', 'r12', 'r17']",FALSE,intID221
"['r1', 'r3', 'r6', 'r7', 'r15', 'r19']",FALSE,intID222
"['r1', 'r3', 'r6', 'r8', 'r11', 'r12']",FALSE,intID223
"['r1', 'r3', 'r6', 'r8', 'r13', 'r16']",FALSE,intID224
"['r1', 'r3', 'r6', 'r8', 'r15', 'r18']",FALSE,intID225
"['r1', 'r3', 'r6', 'r8', 'r17', 'r19']",FALSE,intID226
"['r1', 'r3', 'r6', 'r9', 'r11', 'r18']",FALSE,intID227
"['r1', 'r3', 'r6', 'r9', 'r13', 'r19']",FALSE,intID228
"['r1', 'r3', 'r6', 'r9', 'r14', 'r16']",FALSE,intID229
"['r1', 'r3', 'r6', 'r9', 'r15', 'r17']",FALSE,intID230
"['r1', 'r3', 'r6', 'r10', 'r15', 'r20']",FALSE,intID231
"['r1', 'r3', 'r6', 'r10', 'r19', 'r21']",FALSE,intID232
"['r1', 'r3', 'r6', 'r11', 'r17', 'r21']",FALSE,intID233
"['r1', 'r3', 'r6', 'r12', 'r14', 'r21']",FALSE,intID234
"['r1', 'r3', 'r6', 'r12', 'r18', 'r20']",FALSE,intID235
"['r1', 'r3', 'r6', 'r13', 'r15', 'r21']",FALSE,intID236
