generations,edit_rate,iteration,site_edit_frac
2,0.277,0,0.5
3,0.197,0,0.5
4,0.165,0,0.5
5,0.132,0,0.5
6,0.111,0,0.5
7,0.099,0,0.5
8,0.084,0,0.5
9,0.07100000000000001,0,0.5
10,0.067,0,0.5
11,0.066,0,0.5
12,0.057,0,0.5
13,0.052000000000000005,0,0.5
14,0.05,0,0.5
15,0.047,0,0.5
16,0.043000000000000003,0,0.5
17,0.037,0,0.5
18,0.036000000000000004,0,0.5
19,0.036000000000000004,0,0.5
20,0.038,0,0.5
21,0.034,0,0.5
22,0.033,0,0.5
23,0.028,0,0.5
24,0.028,0,0.5
25,0.027,0,0.5
26,0.027,0,0.5
27,0.026000000000000002,0,0.5
28,0.024,0,0.5
29,0.024,0,0.5
30,0.025,0,0.5
31,0.022,0,0.5
32,0.019,0,0.5
33,0.019,0,0.5
34,0.019,0,0.5
35,0.021,0,0.5
36,0.021,0,0.5
37,0.02,0,0.5
38,0.02,0,0.5
39,0.02,0,0.5
40,0.02,0,0.5
41,0.017,0,0.5
42,0.018000000000000002,0,0.5
43,0.018000000000000002,0,0.5
44,0.018000000000000002,0,0.5
45,0.016,0,0.5
46,0.015,0,0.5
47,0.015,0,0.5
48,0.015,0,0.5
49,0.015,0,0.5
50,0.015,0,0.5
51,0.015,0,0.5
52,0.015,0,0.5
53,0.013000000000000001,0,0.5
54,0.013000000000000001,0,0.5
55,0.013000000000000001,0,0.5
56,0.013000000000000001,0,0.5
57,0.013000000000000001,0,0.5
58,0.014,0,0.5
59,0.012,0,0.5
60,0.012,0,0.5
61,0.014,0,0.5
62,0.012,0,0.5
63,0.012,0,0.5
64,0.012,0,0.5
65,0.012,0,0.5
66,0.012,0,0.5
67,0.012,0,0.5
68,0.01,0,0.5
69,0.01,0,0.5
70,0.01,0,0.5
71,0.01,0,0.5
72,0.01,0,0.5
73,0.01,0,0.5
74,0.01,0,0.5
75,0.01,0,0.5
76,0.009000000000000001,0,0.5
77,0.009000000000000001,0,0.5
78,0.009000000000000001,0,0.5
79,0.009000000000000001,0,0.5
80,0.009000000000000001,0,0.5
81,0.009000000000000001,0,0.5
82,0.009000000000000001,0,0.5
83,0.009000000000000001,0,0.5
84,0.009000000000000001,0,0.5
85,0.009000000000000001,0,0.5
86,0.009000000000000001,0,0.5
87,0.009000000000000001,0,0.5
88,0.009000000000000001,0,0.5
89,0.009000000000000001,0,0.5
90,0.008,0,0.5
91,0.008,0,0.5
92,0.008,0,0.5
93,0.008,0,0.5
94,0.008,0,0.5
95,0.008,0,0.5
96,0.008,0,0.5
97,0.008,0,0.5
98,0.008,0,0.5
99,0.008,0,0.5
100,0.008,0,0.5
3,0.269,0,0.6
4,0.20400000000000001,0,0.6
5,0.163,0,0.6
6,0.135,0,0.6
7,0.11900000000000001,0,0.6
8,0.111,0,0.6
9,0.10400000000000001,0,0.6
10,0.096,0,0.6
11,0.08,0,0.6
12,0.07200000000000001,0,0.6
13,0.074,0,0.6
14,0.064,0,0.6
15,0.066,0,0.6
16,0.054,0,0.6
17,0.051000000000000004,0,0.6
18,0.049,0,0.6
19,0.046,0,0.6
20,0.041,0,0.6
21,0.043000000000000003,0,0.6
22,0.042,0,0.6
23,0.037,0,0.6
24,0.036000000000000004,0,0.6
25,0.038,0,0.6
26,0.038,0,0.6
27,0.038,0,0.6
28,0.031,0,0.6
29,0.032,0,0.6
30,0.032,0,0.6
31,0.029,0,0.6
32,0.027,0,0.6
33,0.03,0,0.6
34,0.027,0,0.6
35,0.026000000000000002,0,0.6
36,0.026000000000000002,0,0.6
37,0.024,0,0.6
38,0.024,0,0.6
39,0.025,0,0.6
40,0.022,0,0.6
41,0.022,0,0.6
42,0.023,0,0.6
43,0.023,0,0.6
44,0.019,0,0.6
45,0.019,0,0.6
46,0.02,0,0.6
47,0.021,0,0.6
48,0.02,0,0.6
49,0.02,0,0.6
50,0.02,0,0.6
51,0.02,0,0.6
52,0.02,0,0.6
53,0.02,0,0.6
54,0.017,0,0.6
55,0.017,0,0.6
56,0.018000000000000002,0,0.6
57,0.018000000000000002,0,0.6
58,0.016,0,0.6
59,0.016,0,0.6
60,0.016,0,0.6
61,0.016,0,0.6
62,0.016,0,0.6
63,0.016,0,0.6
64,0.016,0,0.6
65,0.016,0,0.6
66,0.016,0,0.6
67,0.016,0,0.6
68,0.016,0,0.6
69,0.013000000000000001,0,0.6
70,0.013000000000000001,0,0.6
71,0.014,0,0.6
72,0.014,0,0.6
73,0.014,0,0.6
74,0.014,0,0.6
75,0.013000000000000001,0,0.6
76,0.012,0,0.6
77,0.012,0,0.6
78,0.012,0,0.6
79,0.012,0,0.6
80,0.012,0,0.6
81,0.012,0,0.6
82,0.012,0,0.6
83,0.012,0,0.6
84,0.012,0,0.6
85,0.012,0,0.6
86,0.012,0,0.6
87,0.012,0,0.6
88,0.012,0,0.6
89,0.012,0,0.6
90,0.01,0,0.6
91,0.01,0,0.6
92,0.011,0,0.6
93,0.011,0,0.6
94,0.011,0,0.6
95,0.011,0,0.6
96,0.011,0,0.6
97,0.011,0,0.6
98,0.011,0,0.6
99,0.011,0,0.6
100,0.009000000000000001,0,0.6
4,0.258,0,0.7
5,0.213,0,0.7
6,0.182,0,0.7
7,0.148,0,0.7
8,0.136,0,0.7
9,0.12,0,0.7
10,0.112,0,0.7
11,0.108,0,0.7
12,0.107,0,0.7
13,0.096,0,0.7
14,0.075,0,0.7
15,0.078,0,0.7
16,0.076,0,0.7
17,0.073,0,0.7
18,0.069,0,0.7
19,0.062,0,0.7
20,0.059000000000000004,0,0.7
21,0.054,0,0.7
22,0.057,0,0.7
23,0.049,0,0.7
24,0.046,0,0.7
25,0.05,0,0.7
26,0.052000000000000005,0,0.7
27,0.047,0,0.7
28,0.044,0,0.7
29,0.04,0,0.7
30,0.04,0,0.7
31,0.036000000000000004,0,0.7
32,0.036000000000000004,0,0.7
33,0.038,0,0.7
34,0.038,0,0.7
35,0.033,0,0.7
36,0.034,0,0.7
37,0.034,0,0.7
38,0.034,0,0.7
39,0.034,0,0.7
40,0.029,0,0.7
41,0.027,0,0.7
42,0.03,0,0.7
43,0.028,0,0.7
44,0.028,0,0.7
45,0.026000000000000002,0,0.7
46,0.026000000000000002,0,0.7
47,0.026000000000000002,0,0.7
48,0.026000000000000002,0,0.7
49,0.026000000000000002,0,0.7
50,0.024,0,0.7
51,0.025,0,0.7
52,0.022,0,0.7
53,0.022,0,0.7
54,0.024,0,0.7
55,0.024,0,0.7
56,0.019,0,0.7
57,0.023,0,0.7
58,0.023,0,0.7
59,0.023,0,0.7
60,0.021,0,0.7
61,0.021,0,0.7
62,0.02,0,0.7
63,0.02,0,0.7
64,0.02,0,0.7
65,0.02,0,0.7
66,0.02,0,0.7
67,0.02,0,0.7
68,0.02,0,0.7
69,0.02,0,0.7
70,0.02,0,0.7
71,0.017,0,0.7
72,0.018000000000000002,0,0.7
73,0.018000000000000002,0,0.7
74,0.018000000000000002,0,0.7
75,0.018000000000000002,0,0.7
76,0.018000000000000002,0,0.7
77,0.018000000000000002,0,0.7
78,0.018000000000000002,0,0.7
79,0.015,0,0.7
80,0.015,0,0.7
81,0.015,0,0.7
82,0.016,0,0.7
83,0.015,0,0.7
84,0.015,0,0.7
85,0.015,0,0.7
86,0.015,0,0.7
87,0.015,0,0.7
88,0.015,0,0.7
89,0.015,0,0.7
90,0.015,0,0.7
91,0.013000000000000001,0,0.7
92,0.013000000000000001,0,0.7
93,0.013000000000000001,0,0.7
94,0.013000000000000001,0,0.7
95,0.013000000000000001,0,0.7
96,0.014,0,0.7
97,0.014,0,0.7
98,0.012,0,0.7
99,0.012,0,0.7
100,0.012,0,0.7
5,0.273,0,0.8
6,0.225,0,0.8
7,0.197,0,0.8
8,0.186,0,0.8
9,0.16,0,0.8
10,0.15,0,0.8
11,0.128,0,0.8
12,0.124,0,0.8
13,0.11,0,0.8
14,0.111,0,0.8
15,0.101,0,0.8
16,0.093,0,0.8
17,0.098,0,0.8
18,0.085,0,0.8
19,0.08600000000000001,0,0.8
20,0.075,0,0.8
21,0.078,0,0.8
22,0.077,0,0.8
23,0.07200000000000001,0,0.8
24,0.067,0,0.8
25,0.063,0,0.8
26,0.066,0,0.8
27,0.054,0,0.8
28,0.058,0,0.8
29,0.057,0,0.8
30,0.051000000000000004,0,0.8
31,0.053,0,0.8
32,0.05,0,0.8
33,0.052000000000000005,0,0.8
34,0.052000000000000005,0,0.8
35,0.045,0,0.8
36,0.045,0,0.8
37,0.042,0,0.8
38,0.044,0,0.8
39,0.042,0,0.8
40,0.039,0,0.8
41,0.039,0,0.8
42,0.037,0,0.8
43,0.04,0,0.8
44,0.038,0,0.8
45,0.038,0,0.8
46,0.036000000000000004,0,0.8
47,0.033,0,0.8
48,0.033,0,0.8
49,0.035,0,0.8
50,0.034,0,0.8
51,0.032,0,0.8
52,0.031,0,0.8
53,0.029,0,0.8
54,0.027,0,0.8
55,0.027,0,0.8
56,0.027,0,0.8
57,0.028,0,0.8
58,0.03,0,0.8
59,0.026000000000000002,0,0.8
60,0.026000000000000002,0,0.8
61,0.026000000000000002,0,0.8
62,0.026000000000000002,0,0.8
63,0.026000000000000002,0,0.8
64,0.026000000000000002,0,0.8
65,0.025,0,0.8
66,0.025,0,0.8
67,0.024,0,0.8
68,0.024,0,0.8
69,0.022,0,0.8
70,0.022,0,0.8
71,0.022,0,0.8
72,0.022,0,0.8
73,0.022,0,0.8
74,0.022,0,0.8
75,0.021,0,0.8
76,0.023,0,0.8
77,0.021,0,0.8
78,0.019,0,0.8
79,0.021,0,0.8
80,0.02,0,0.8
81,0.02,0,0.8
82,0.02,0,0.8
83,0.02,0,0.8
84,0.02,0,0.8
85,0.02,0,0.8
86,0.02,0,0.8
87,0.02,0,0.8
88,0.02,0,0.8
89,0.02,0,0.8
90,0.02,0,0.8
91,0.02,0,0.8
92,0.02,0,0.8
93,0.017,0,0.8
94,0.017,0,0.8
95,0.017,0,0.8
96,0.018000000000000002,0,0.8
97,0.018000000000000002,0,0.8
98,0.018000000000000002,0,0.8
99,0.018000000000000002,0,0.8
100,0.018000000000000002,0,0.8
7,0.28600000000000003,0,0.9
8,0.257,0,0.9
9,0.227,0,0.9
10,0.20600000000000002,0,0.9
11,0.197,0,0.9
12,0.17,0,0.9
13,0.17200000000000001,0,0.9
14,0.153,0,0.9
15,0.14300000000000002,0,0.9
16,0.126,0,0.9
17,0.135,0,0.9
18,0.127,0,0.9
19,0.11900000000000001,0,0.9
20,0.114,0,0.9
21,0.10400000000000001,0,0.9
22,0.106,0,0.9
23,0.098,0,0.9
24,0.089,0,0.9
25,0.092,0,0.9
26,0.091,0,0.9
27,0.082,0,0.9
28,0.08,0,0.9
29,0.075,0,0.9
30,0.081,0,0.9
31,0.073,0,0.9
32,0.076,0,0.9
33,0.077,0,0.9
34,0.077,0,0.9
35,0.064,0,0.9
36,0.068,0,0.9
37,0.068,0,0.9
38,0.059000000000000004,0,0.9
39,0.055,0,0.9
40,0.055,0,0.9
41,0.057,0,0.9
42,0.053,0,0.9
43,0.051000000000000004,0,0.9
44,0.051000000000000004,0,0.9
45,0.051000000000000004,0,0.9
46,0.051000000000000004,0,0.9
47,0.052000000000000005,0,0.9
48,0.05,0,0.9
49,0.046,0,0.9
50,0.046,0,0.9
51,0.052000000000000005,0,0.9
52,0.047,0,0.9
53,0.041,0,0.9
54,0.041,0,0.9
55,0.042,0,0.9
