generations,characters,branch_edit_frac,site_edit_frac,edit_rate,iteration,edit_pct
1,60,0.5,0.008333333333333333,0.01,0,0.8333333333333334
2,60,0.55,0.021666666666666667,0.01,0,2.166666666666667
3,60,0.5333333333333333,0.03333333333333333,0.01,0,3.3333333333333335
4,60,0.45,0.04,0.01,0,4.0
5,60,0.38,0.041666666666666664,0.01,0,4.166666666666666
6,60,0.36666666666666664,0.04666666666666667,0.01,0,4.666666666666667
7,60,0.37142857142857144,0.05333333333333334,0.01,0,5.333333333333334
8,60,0.4,0.06333333333333334,0.01,0,6.333333333333334
9,60,0.4,0.07333333333333333,0.01,0,7.333333333333333
10,60,0.42,0.08833333333333333,0.01,0,8.833333333333334
11,60,0.41818181818181815,0.09833333333333333,0.01,0,9.833333333333332
12,60,0.4083333333333333,0.10333333333333333,0.01,0,10.333333333333334
13,60,0.4076923076923077,0.11333333333333333,0.01,0,11.333333333333332
14,60,0.40714285714285714,0.12,0.01,0,12.0
15,60,0.4066666666666667,0.12833333333333333,0.01,0,12.833333333333332
16,60,0.41875,0.14166666666666666,0.01,0,14.166666666666666
17,60,0.4117647058823529,0.14666666666666667,0.01,0,14.666666666666666
18,60,0.42777777777777776,0.16666666666666666,0.01,0,16.666666666666664
19,60,0.4368421052631579,0.17833333333333334,0.01,0,17.833333333333336
20,60,0.445,0.19166666666666668,0.01,0,19.166666666666668
21,60,0.44285714285714284,0.20166666666666666,0.01,0,20.166666666666664
22,60,0.45,0.21166666666666667,0.01,0,21.166666666666668
23,60,0.45217391304347826,0.22,0.01,0,22.0
24,60,0.4583333333333333,0.23166666666666666,0.01,0,23.166666666666664
25,60,0.448,0.23666666666666666,0.01,0,23.666666666666668
26,60,0.45,0.24666666666666667,0.01,0,24.666666666666668
27,60,0.45555555555555555,0.26,0.01,0,26.0
28,60,0.45357142857142857,0.2683333333333333,0.01,0,26.833333333333332
29,60,0.4517241379310345,0.27666666666666667,0.01,0,27.666666666666668
30,60,0.4533333333333333,0.28833333333333333,0.01,0,28.833333333333332
1,60,0.9,0.028333333333333332,0.02,0,2.833333333333333
2,60,0.8,0.051666666666666666,0.02,0,5.166666666666667
3,60,0.7333333333333333,0.06833333333333333,0.02,0,6.833333333333333
4,60,0.65,0.07833333333333334,0.02,0,7.833333333333334
5,60,0.7,0.11333333333333333,0.02,0,11.333333333333332
6,60,0.6666666666666666,0.13166666666666665,0.02,0,13.166666666666666
7,60,0.6714285714285714,0.15,0.02,0,15.0
8,60,0.675,0.16833333333333333,0.02,0,16.833333333333332
9,60,0.7111111111111111,0.19666666666666666,0.02,0,19.666666666666664
10,60,0.69,0.205,0.02,0,20.5
11,60,0.6727272727272727,0.22333333333333333,0.02,0,22.333333333333332
12,60,0.6583333333333333,0.23666666666666666,0.02,0,23.666666666666668
13,60,0.6384615384615384,0.25,0.02,0,25.0
14,60,0.65,0.27,0.02,0,27.0
15,60,0.64,0.28,0.02,0,28.000000000000004
16,60,0.64375,0.3,0.02,0,30.0
17,60,0.6470588235294118,0.31666666666666665,0.02,0,31.666666666666664
18,60,0.6444444444444445,0.3333333333333333,0.02,0,33.33333333333333
19,60,0.6526315789473685,0.35333333333333333,0.02,0,35.333333333333336
20,60,0.65,0.36666666666666664,0.02,0,36.666666666666664
21,60,0.6333333333333333,0.37333333333333335,0.02,0,37.333333333333336
22,60,0.6181818181818182,0.37833333333333335,0.02,0,37.833333333333336
23,60,0.6130434782608696,0.39,0.02,0,39.0
24,60,0.6208333333333333,0.4166666666666667,0.02,0,41.66666666666667
25,60,0.612,0.42333333333333334,0.02,0,42.333333333333336
26,60,0.6153846153846154,0.43666666666666665,0.02,0,43.666666666666664
27,60,0.6,0.44,0.02,0,44.0
28,60,0.6,0.45166666666666666,0.02,0,45.166666666666664
29,60,0.603448275862069,0.4666666666666667,0.02,0,46.666666666666664
30,60,0.5933333333333334,0.4716666666666667,0.02,0,47.16666666666667
1,60,1.0,0.04,0.04,0,4.0
2,60,1.0,0.07833333333333334,0.04,0,7.833333333333334
3,60,1.0,0.12333333333333334,0.04,0,12.333333333333334
4,60,0.975,0.15333333333333332,0.04,0,15.333333333333332
5,60,0.98,0.18166666666666667,0.04,0,18.166666666666668
6,60,0.9333333333333333,0.21666666666666667,0.04,0,21.666666666666668
7,60,0.9142857142857143,0.25166666666666665,0.04,0,25.166666666666664
8,60,0.8875,0.275,0.04,0,27.500000000000004
9,60,0.9,0.31833333333333336,0.04,0,31.833333333333336
10,60,0.88,0.3433333333333333,0.04,0,34.333333333333336
11,60,0.8727272727272727,0.36,0.04,0,36.0
12,60,0.8666666666666667,0.39166666666666666,0.04,0,39.166666666666664
13,60,0.8692307692307693,0.425,0.04,0,42.5
14,60,0.8714285714285714,0.46,0.04,0,46.0
15,60,0.8533333333333334,0.4816666666666667,0.04,0,48.16666666666667
16,60,0.85,0.5133333333333333,0.04,0,51.33333333333333
17,60,0.8294117647058824,0.525,0.04,0,52.5
18,60,0.8222222222222222,0.5383333333333333,0.04,0,53.833333333333336
19,60,0.8315789473684211,0.5633333333333334,0.04,0,56.333333333333336
20,60,0.81,0.5783333333333334,0.04,0,57.833333333333336
21,60,0.8047619047619048,0.6033333333333334,0.04,0,60.333333333333336
22,60,0.8045454545454546,0.6216666666666667,0.04,0,62.16666666666667
23,60,0.8,0.6416666666666667,0.04,0,64.16666666666667
24,60,0.7833333333333333,0.65,0.04,0,65.0
25,60,0.768,0.6583333333333333,0.04,0,65.83333333333333
26,60,0.7538461538461538,0.6666666666666666,0.04,0,66.66666666666666
27,60,0.7444444444444445,0.68,0.04,0,68.0
28,60,0.7428571428571429,0.6966666666666667,0.04,0,69.66666666666667
29,60,0.7310344827586207,0.7033333333333334,0.04,0,70.33333333333334
30,60,0.7233333333333334,0.715,0.04,0,71.5
1,60,1.0,0.08666666666666667,0.08,0,8.666666666666668
2,60,1.0,0.15833333333333333,0.08,0,15.833333333333332
3,60,1.0,0.23333333333333334,0.08,0,23.333333333333332
4,60,0.975,0.2866666666666667,0.08,0,28.666666666666668
5,60,0.98,0.35,0.08,0,35.0
6,60,0.9833333333333333,0.4166666666666667,0.08,0,41.66666666666667
7,60,0.9714285714285714,0.47333333333333333,0.08,0,47.333333333333336
8,60,0.9625,0.5216666666666666,0.08,0,52.166666666666664
9,60,0.9555555555555556,0.57,0.08,0,56.99999999999999
10,60,0.95,0.5966666666666667,0.08,0,59.66666666666667
11,60,0.9454545454545454,0.6383333333333333,0.08,0,63.83333333333333
12,60,0.95,0.675,0.08,0,67.5
13,60,0.9384615384615385,0.7083333333333334,0.08,0,70.83333333333334
14,60,0.9214285714285714,0.735,0.08,0,73.5
15,60,0.9066666666666666,0.755,0.08,0,75.5
16,60,0.9,0.78,0.08,0,78.0
17,60,0.9,0.8066666666666666,0.08,0,80.66666666666666
18,60,0.8777777777777778,0.8166666666666667,0.08,0,81.66666666666667
19,60,0.868421052631579,0.8333333333333334,0.08,0,83.33333333333334
20,60,0.85,0.8433333333333334,0.08,0,84.33333333333334
21,60,0.8285714285714286,0.8516666666666667,0.08,0,85.16666666666667
22,60,0.8045454545454546,0.8583333333333333,0.08,0,85.83333333333333
23,60,0.782608695652174,0.8666666666666667,0.08,0,86.66666666666667
24,60,0.7625,0.8716666666666667,0.08,0,87.16666666666667
25,60,0.752,0.8833333333333333,0.08,0,88.33333333333333
26,60,0.7346153846153847,0.8883333333333333,0.08,0,88.83333333333333
27,60,0.7222222222222222,0.8983333333333333,0.08,0,89.83333333333333
28,60,0.7142857142857143,0.9083333333333333,0.08,0,90.83333333333333
29,60,0.7,0.9166666666666666,0.08,0,91.66666666666666
30,60,0.6833333333333333,0.92,0.08,0,92.0
1,60,1.0,0.16,0.16,0,16.0
2,60,1.0,0.2783333333333333,0.16,0,27.833333333333332
3,60,1.0,0.37333333333333335,0.16,0,37.333333333333336
4,60,1.0,0.49333333333333335,0.16,0,49.333333333333336
5,60,1.0,0.5633333333333334,0.16,0,56.333333333333336
6,60,1.0,0.62,0.16,0,62.0
7,60,0.9857142857142858,0.6666666666666666,0.16,0,66.66666666666666
8,60,0.9625,0.7116666666666667,0.16,0,71.16666666666667
9,60,0.9666666666666667,0.7633333333333333,0.16,0,76.33333333333333
10,60,0.96,0.805,0.16,0,80.5
11,60,0.9454545454545454,0.8283333333333334,0.16,0,82.83333333333334
12,60,0.9166666666666666,0.8483333333333334,0.16,0,84.83333333333334
13,60,0.9076923076923077,0.8716666666666667,0.16,0,87.16666666666667
14,60,0.9,0.8983333333333333,0.16,0,89.83333333333333
15,60,0.8866666666666667,0.9133333333333333,0.16,0,91.33333333333333
16,60,0.8625,0.93,0.16,0,93.0
17,60,0.8470588235294118,0.945,0.16,0,94.5
18,60,0.8222222222222222,0.9516666666666667,0.16,0,95.16666666666667
19,60,0.7894736842105263,0.955,0.16,0,95.5
20,60,0.765,0.9616666666666667,0.16,0,96.16666666666667
21,60,0.7380952380952381,0.9666666666666667,0.16,0,96.66666666666667
22,60,0.7136363636363636,0.9733333333333334,0.16,0,97.33333333333334
23,60,0.6869565217391305,0.975,0.16,0,97.5
24,60,0.6708333333333333,0.9816666666666667,0.16,0,98.16666666666667
25,60,0.652,0.9866666666666667,0.16,0,98.66666666666667
26,60,0.6307692307692307,0.9883333333333333,0.16,0,98.83333333333333
27,60,0.6111111111111112,0.99,0.16,0,99.0
28,60,0.5928571428571429,0.9916666666666667,0.16,0,99.16666666666667
29,60,0.5724137931034483,0.9916666666666667,0.16,0,99.16666666666667
30,60,0.5566666666666666,0.9933333333333333,0.16,0,99.33333333333333
1,60,0.3,0.006666666666666667,0.01,1,0.6666666666666667
2,60,0.25,0.01,0.01,1,1.0
3,60,0.26666666666666666,0.018333333333333333,0.01,1,1.8333333333333333
4,60,0.325,0.028333333333333332,0.01,1,2.833333333333333
5,60,0.3,0.03333333333333333,0.01,1,3.3333333333333335
6,60,0.3333333333333333,0.045,0.01,1,4.5
7,60,0.34285714285714286,0.05333333333333334,0.01,1,5.333333333333334
8,60,0.3375,0.058333333333333334,0.01,1,5.833333333333333
9,60,0.34444444444444444,0.06666666666666667,0.01,1,6.666666666666667
10,60,0.32,0.06833333333333333,0.01,1,6.833333333333333
