generations,edit_rate,iteration
4,0.27,0
5,0.22,0
6,0.17500000000000002,0
7,0.16,0
8,0.14,0
9,0.135,0
10,0.11,0
11,0.105,0
12,0.1,0
13,0.095,0
14,0.085,0
15,0.08,0
16,0.08,0
17,0.07,0
18,0.07,0
19,0.06,0
20,0.06,0
21,0.06,0
22,0.055,0
23,0.055,0
24,0.05,0
25,0.05,0
26,0.05,0
27,0.05,0
28,0.05,0
29,0.05,0
30,0.045,0
31,0.045,0
32,0.045,0
33,0.04,0
34,0.04,0
35,0.04,0
36,0.035,0
37,0.035,0
38,0.03,0
39,0.03,0
40,0.03,0
41,0.03,0
42,0.03,0
43,0.03,0
44,0.03,0
45,0.03,0
46,0.025,0
47,0.025,0
48,0.025,0
49,0.025,0
50,0.025,0
51,0.025,0
52,0.025,0
53,0.025,0
54,0.025,0
55,0.025,0
56,0.025,0
57,0.02,0
58,0.02,0
59,0.02,0
60,0.02,0
61,0.02,0
62,0.02,0
63,0.02,0
64,0.02,0
65,0.02,0
66,0.02,0
67,0.02,0
68,0.02,0
69,0.02,0
70,0.02,0
71,0.02,0
72,0.02,0
73,0.02,0
74,0.02,0
75,0.02,0
76,0.02,0
77,0.02,0
78,0.02,0
79,0.02,0
80,0.02,0
81,0.02,0
82,0.015,0
83,0.015,0
84,0.015,0
85,0.015,0
86,0.015,0
87,0.015,0
88,0.015,0
89,0.015,0
90,0.015,0
91,0.015,0
92,0.015,0
93,0.015,0
94,0.015,0
95,0.015,0
96,0.015,0
97,0.015,0
98,0.015,0
99,0.015,0
100,0.015,0
4,0.255,1
5,0.215,1
6,0.17500000000000002,1
7,0.16,1
8,0.13,1
9,0.125,1
10,0.11,1
11,0.115,1
12,0.105,1
13,0.09,1
14,0.09,1
15,0.08,1
16,0.075,1
17,0.07,1
18,0.065,1
19,0.065,1
20,0.065,1
21,0.06,1
22,0.06,1
23,0.06,1
24,0.055,1
25,0.055,1
26,0.055,1
27,0.055,1
28,0.045,1
29,0.045,1
30,0.045,1
31,0.04,1
32,0.04,1
33,0.04,1
34,0.04,1
35,0.035,1
36,0.03,1
37,0.03,1
38,0.03,1
39,0.03,1
40,0.03,1
41,0.035,1
42,0.035,1
43,0.035,1
44,0.03,1
45,0.03,1
46,0.035,1
47,0.035,1
48,0.03,1
49,0.03,1
50,0.025,1
51,0.025,1
52,0.025,1
53,0.025,1
54,0.025,1
55,0.025,1
56,0.025,1
57,0.025,1
58,0.025,1
59,0.02,1
60,0.02,1
61,0.02,1
62,0.02,1
63,0.02,1
64,0.02,1
65,0.02,1
66,0.02,1
67,0.02,1
68,0.02,1
69,0.02,1
70,0.02,1
71,0.02,1
72,0.02,1
73,0.02,1
74,0.02,1
75,0.02,1
76,0.02,1
77,0.015,1
78,0.015,1
79,0.015,1
80,0.015,1
81,0.015,1
82,0.015,1
83,0.015,1
84,0.015,1
85,0.015,1
86,0.015,1
87,0.015,1
88,0.015,1
89,0.015,1
90,0.015,1
91,0.015,1
92,0.015,1
93,0.015,1
94,0.015,1
95,0.015,1
96,0.015,1
97,0.015,1
98,0.015,1
99,0.015,1
100,0.015,1
4,0.255,2
5,0.225,2
6,0.19,2
7,0.17500000000000002,2
8,0.14,2
9,0.125,2
10,0.105,2
11,0.1,2
12,0.11,2
13,0.09,2
14,0.085,2
15,0.08,2
16,0.07,2
17,0.075,2
18,0.065,2
19,0.06,2
20,0.06,2
21,0.06,2
22,0.055,2
23,0.055,2
24,0.045,2
25,0.045,2
26,0.05,2
27,0.05,2
28,0.05,2
29,0.05,2
30,0.04,2
31,0.04,2
32,0.04,2
33,0.035,2
34,0.035,2
35,0.035,2
36,0.035,2
37,0.035,2
38,0.03,2
39,0.03,2
40,0.03,2
41,0.03,2
42,0.03,2
43,0.03,2
44,0.03,2
45,0.03,2
46,0.03,2
47,0.03,2
48,0.025,2
49,0.025,2
50,0.025,2
51,0.025,2
52,0.025,2
53,0.025,2
54,0.025,2
55,0.025,2
56,0.025,2
57,0.025,2
58,0.025,2
59,0.025,2
60,0.025,2
61,0.025,2
62,0.025,2
63,0.02,2
64,0.02,2
65,0.02,2
66,0.02,2
67,0.02,2
68,0.02,2
69,0.02,2
70,0.02,2
71,0.02,2
72,0.02,2
73,0.02,2
74,0.02,2
75,0.02,2
76,0.02,2
77,0.015,2
78,0.015,2
79,0.015,2
80,0.015,2
81,0.015,2
82,0.015,2
83,0.015,2
84,0.015,2
85,0.015,2
86,0.015,2
87,0.015,2
88,0.015,2
89,0.015,2
90,0.015,2
91,0.015,2
92,0.015,2
93,0.015,2
94,0.015,2
95,0.015,2
96,0.015,2
97,0.015,2
98,0.015,2
99,0.015,2
100,0.015,2
4,0.26,3
5,0.23,3
6,0.185,3
7,0.16,3
8,0.155,3
9,0.125,3
10,0.12,3
11,0.105,3
12,0.1,3
13,0.09,3
14,0.08,3
15,0.075,3
16,0.075,3
17,0.07,3
18,0.065,3
19,0.065,3
20,0.065,3
21,0.06,3
22,0.055,3
23,0.055,3
24,0.05,3
25,0.05,3
26,0.045,3
27,0.045,3
28,0.045,3
29,0.04,3
30,0.04,3
31,0.04,3
32,0.04,3
33,0.04,3
34,0.04,3
35,0.035,3
36,0.035,3
37,0.035,3
38,0.035,3
39,0.035,3
40,0.035,3
41,0.03,3
42,0.03,3
43,0.03,3
44,0.025,3
45,0.025,3
46,0.025,3
47,0.025,3
48,0.025,3
49,0.025,3
50,0.025,3
51,0.025,3
52,0.025,3
53,0.025,3
54,0.025,3
55,0.025,3
56,0.025,3
57,0.025,3
58,0.025,3
59,0.025,3
60,0.025,3
61,0.025,3
62,0.025,3
63,0.02,3
64,0.02,3
65,0.02,3
66,0.02,3
67,0.02,3
68,0.02,3
69,0.02,3
70,0.02,3
71,0.02,3
72,0.02,3
73,0.02,3
74,0.015,3
75,0.015,3
76,0.015,3
77,0.015,3
78,0.015,3
79,0.015,3
80,0.015,3
81,0.015,3
82,0.015,3
83,0.015,3
84,0.015,3
85,0.015,3
86,0.015,3
87,0.015,3
88,0.015,3
89,0.015,3
90,0.015,3
91,0.015,3
92,0.015,3
93,0.015,3
94,0.015,3
95,0.015,3
96,0.015,3
97,0.015,3
98,0.015,3
99,0.015,3
100,0.015,3
4,0.245,4
5,0.225,4
6,0.185,4
7,0.16,4
8,0.15,4
9,0.135,4
10,0.115,4
11,0.12,4
12,0.09,4
13,0.095,4
14,0.08,4
15,0.085,4
16,0.085,4
17,0.075,4
18,0.075,4
19,0.07,4
20,0.06,4
21,0.06,4
22,0.055,4
23,0.055,4
24,0.055,4
25,0.055,4
26,0.05,4
27,0.045,4
28,0.045,4
29,0.045,4
30,0.04,4
31,0.04,4
32,0.04,4
33,0.04,4
34,0.04,4
35,0.04,4
36,0.04,4
37,0.035,4
38,0.03,4
39,0.03,4
40,0.03,4
41,0.03,4
42,0.03,4
43,0.03,4
44,0.03,4
45,0.03,4
46,0.03,4
47,0.03,4
48,0.03,4
49,0.03,4
50,0.03,4
51,0.025,4
52,0.025,4
53,0.025,4
54,0.025,4
55,0.025,4
56,0.025,4
57,0.025,4
58,0.025,4
59,0.025,4
60,0.025,4
61,0.02,4
62,0.02,4
63,0.02,4
64,0.02,4
65,0.02,4
66,0.02,4
67,0.02,4
68,0.02,4
69,0.02,4
70,0.02,4
71,0.02,4
72,0.02,4
73,0.02,4
74,0.02,4
75,0.02,4
76,0.02,4
77,0.02,4
78,0.02,4
79,0.02,4
80,0.02,4
81,0.02,4
82,0.02,4
83,0.02,4
84,0.015,4
85,0.015,4
86,0.015,4
87,0.015,4
88,0.015,4
89,0.015,4
90,0.015,4
91,0.015,4
92,0.015,4
93,0.015,4
94,0.015,4
95,0.015,4
96,0.015,4
97,0.015,4
98,0.015,4
99,0.015,4
100,0.015,4
4,0.26,5
5,0.22,5
6,0.19,5
7,0.165,5
8,0.155,5
9,0.135,5
10,0.115,5
11,0.105,5
12,0.105,5
13,0.095,5
14,0.09,5
15,0.075,5
16,0.07,5
17,0.07,5
18,0.065,5
19,0.065,5
20,0.065,5
21,0.06,5
22,0.055,5
23,0.05,5
24,0.05,5
25,0.05,5
26,0.05,5
27,0.045,5
28,0.045,5
29,0.045,5
30,0.045,5
31,0.045,5
32,0.04,5
33,0.035,5
34,0.035,5
35,0.035,5
36,0.035,5
37,0.035,5
38,0.035,5
39,0.035,5
40,0.035,5
41,0.035,5
42,0.035,5
43,0.03,5
44,0.03,5
45,0.03,5
46,0.03,5
47,0.03,5
48,0.03,5
49,0.03,5
50,0.03,5
51,0.03,5
52,0.025,5
53,0.025,5
54,0.025,5
55,0.025,5
56,0.025,5
57,0.025,5
58,0.02,5
59,0.02,5
60,0.02,5
61,0.02,5
62,0.02,5
63,0.02,5
64,0.02,5
65,0.02,5
66,0.02,5
67,0.02,5
68,0.02,5
69,0.02,5
70,0.02,5
71,0.02,5
72,0.02,5
73,0.02,5
74,0.02,5
75,0.02,5
76,0.02,5
77,0.02,5
78,0.02,5
79,0.02,5
80,0.02,5
81,0.02,5
82,0.02,5
83,0.015,5
84,0.015,5
85,0.015,5
86,0.015,5
87,0.015,5
88,0.015,5
89,0.015,5
90,0.015,5
91,0.015,5
92,0.015,5
93,0.015,5
94,0.015,5
95,0.015,5
