Batch	Correct_edit	Indels	Substitutions_amplicon	Reads_aligned_all_amplicons	Reads_aligned_reference	Reads_aligned_amplicon	dir
REP1_AAVS1_type1_BC1_rt23	13.0021509457835	3.45891060922376	4.70993863478206	63228	54993	8221	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP1_AAVS1_type1_BC1_rt25	12.86646884273	4.19782393669634	5.08803165182987	50550	44041	6504	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP1_AAVS1_type1_BC1_rt27	13.1568315871691	4.64057744620108	3.04613644321151	37129	32243	4885	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP1_AAVS1_type1_BC1_rt29	17.1206008403948	4.09587759831363	1.06375553166837	71633	59366	12264	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP1_AAVS1_type1_BC1_rt31	14.3687975998154	2.0893914916532	4.62189399184553	64995	55640	9339	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP1_AAVS1_type1_BC1_rt33	19.1366806620632	0.591623581664874	2.82105555362782	57638	46596	11030	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP2_AAVS1_type1_BC1_rt23	17.0547842961636	4.10509031198686	3.43931930138827	66990	55557	11425	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP2_AAVS1_type1_BC1_rt25	25.5118845034858	7.06208486578471	3.41027611571609	72868	54266	18590	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP2_AAVS1_type1_BC1_rt27	26.6792641186537	2.38876212207644	3.18917569880205	56096	41123	14966	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP2_AAVS1_type1_BC1_rt29	25.5831999612008	2.07211794946409	2.57408215723362	82476	61367	21100	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP2_AAVS1_type1_BC1_rt31	30.7352043929225	1.10996386164171	3.89426010231379	85228	59024	26195	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP2_AAVS1_type1_BC1_rt33	39.5114107743653	1.80923941682768	4.42378629626127	74009	44757	29242	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP3_AAVS1_type1_BC1_rt23	20.1776015981023	3.14938510518759	2.57194581434546	64076	51144	12929	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP3_AAVS1_type1_BC1_rt25	23.0494089117915	5.76083661715671	4.88784480145499	65980	50756	15208	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP3_AAVS1_type1_BC1_rt27	29.9174513091706	2.41358183928802	3.25680381787695	62024	43457	18556	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP3_AAVS1_type1_BC1_rt29	21.9398268992994	3.26650955858265	2.05226838006066	94627	73861	20761	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP3_AAVS1_type1_BC1_rt31	30.3737275299698	2.29895854125327	2.4011083845061	85169	59293	25869	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP3_AAVS1_type1_BC1_rt33	36.8628619087335	2.84880257357322	3.50530203741213	83930	52981	30939	CRISPRessoBatch_on_AAVS1_TYPE1_BC1
REP1_AAVS1_type1_BC2_rt23	33.3915156493318	1.65306227219056	2.58569057275356	58437	38919	19513	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP1_AAVS1_type1_BC2_rt25	34.1589557171183	3.23859881031064	3.85657633840053	60520	39218	20673	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP1_AAVS1_type1_BC2_rt27	25.6918352291248	2.44136771492786	4.03863640262837	58287	43307	14975	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP1_AAVS1_type1_BC2_rt29	15.3336711692033	4.31614447725724	4.37380956541493	57227	48079	8775	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP1_AAVS1_type1_BC2_rt31	16.5201539396395	3.18817095402066	0.945918574032813	49370	40179	8156	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP1_AAVS1_type1_BC2_rt33	22.6191183754334	2.87072808320951	4.39623576027737	50475	39055	11417	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
REP2_AAVS1_type1_BC2_rt23	46.9239074842303	1.76280047735409	3.0596124339376	87985	46357	41286	CRISPRessoBatch_on_AAVS1_TYPE1_BC2
