fastq	Accession
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940215
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940214
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940213
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940212
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940211
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940210
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940209
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940208
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940206
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940205
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940204
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940203
REP1_type1_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940202
REP1_type1_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940201
REP1_type1_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940200
REP1_type1_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940199
REP1_type1_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940198
REP1_type1_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940197
REP1_type1_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940195
REP1_type1_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940391
REP1_type1_HEK3_GTCAG_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940390
REP1_type1_HEK3_GTCAG_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940389
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_10_R1.fastq.gz	SRR33940388
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940387
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940386
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940385
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940384
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940383
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_6_R1.fastq.gz	SRR33940381
REP1_type1_RNF2_GCTGC_pegRNA_RTT_opt_8_R1.fastq.gz	SRR33940380
REP1_type1_RNF2_GTCAG_pegRNA_RTT_opt_10_R1.fastq.gz	SRR33940379
REP1_type1_RNF2_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940378
REP1_type1_RNF2_GTCAG_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940377
REP1_type1_RNF2_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940376
REP1_type1_RNF2_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940375
