Batch	Correct_edit	Indels	Substitutions_amplicon	Reads_aligned_all_amplicons	Reads_aligned_reference	Reads_aligned_amplicon	dir
REP1_type1_AAVS1_GCTGC_pegRNA_16	7.03692016408962	0.12622278321237	0.0631113916061849	3169	2946	223	CRISPRessoBatch_on_AAVS1_type1_BC1
REP1_type1_AAVS1_GCTGC_pegRNA_21	13.0642591609134	0.0637280934678704	0.055231014338821	47075	40925	6150	CRISPRessoBatch_on_AAVS1_type1_BC1
REP1_type1_AAVS1_GCTGC_pegRNA_25	8.58181370133071	0.028749794644324	0.0759816001314276	48696	44517	4179	CRISPRessoBatch_on_AAVS1_type1_BC1
REP2_type1_AAVS1_GCTGC_pegRNA_16	11.9836940231401	0.28475511060488	0.0989149331574846	33362	29361	3998	CRISPRessoBatch_on_AAVS1_type1_BC1
REP2_type1_AAVS1_GCTGC_pegRNA_21	20.2174304763049	0.110116723727151	0.148157046469257	49947	39848	10098	CRISPRessoBatch_on_AAVS1_type1_BC1
REP2_type1_AAVS1_GCTGC_pegRNA_25	14.66918017335	0.0368829785054197	0.122943261684732	48803	41644	7159	CRISPRessoBatch_on_AAVS1_type1_BC1
REP3_type1_AAVS1_GCTGC_pegRNA_16	7.90216527780125	0.397221142306587	0.0709927147952198	59161	54486	4675	CRISPRessoBatch_on_AAVS1_type1_BC1
REP3_type1_AAVS1_GCTGC_pegRNA_21	10.2943236159187	0.0180075631765341	0.0440184877648612	49979	44834	5145	CRISPRessoBatch_on_AAVS1_type1_BC1
REP3_type1_AAVS1_GCTGC_pegRNA_25	8.60624223663716	0.0216881247658668	0.0650643742976005	50719	46354	4365	CRISPRessoBatch_on_AAVS1_type1_BC1
REP1_type1_AAVS1_GTCAG_pegRNA_16	13.7625824366539	0.0308534845154075	0.0829187396351575	51858	44721	7137	CRISPRessoBatch_on_AAVS1_type1_BC2
REP1_type1_AAVS1_GTCAG_pegRNA_21	19.7298773315409	0.0189043858175097	0.144933624600907	47608	38213	9393	CRISPRessoBatch_on_AAVS1_type1_BC2
REP1_type1_AAVS1_GTCAG_pegRNA_25	21.6144770980533	0.0163177390140822	0.1191194948028	61283	48037	13246	CRISPRessoBatch_on_AAVS1_type1_BC2
REP2_type1_AAVS1_GTCAG_pegRNA_16	17.087053389927	0.0308988307231953	0.216291815062367	61491	50983	10507	CRISPRessoBatch_on_AAVS1_type1_BC2
REP2_type1_AAVS1_GTCAG_pegRNA_21	23.836006712719	0.0487842953596378	0.111228193419974	102492	78059	24430	CRISPRessoBatch_on_AAVS1_type1_BC2
REP2_type1_AAVS1_GTCAG_pegRNA_25	22.6843643682016	0.464804255115243	0.119794911112176	41738	32268	9468	CRISPRessoBatch_on_AAVS1_type1_BC2
REP3_type1_AAVS1_GTCAG_pegRNA_16	10.0465952750756	0.029428594784599	0.0457778141093763	61165	55019	6145	CRISPRessoBatch_on_AAVS1_type1_BC2
REP3_type1_AAVS1_GTCAG_pegRNA_21	13.703618920775	0.00416207104655276	0.0769983143612261	48053	41465	6585	CRISPRessoBatch_on_AAVS1_type1_BC2
REP3_type1_AAVS1_GTCAG_pegRNA_25	15.0339550748241	0.0122914298005716	0.0706757213532864	65086	55301	9785	CRISPRessoBatch_on_AAVS1_type1_BC2
REP1_type1_EMX1_GCTGC_pegRNA_16	5.92616146739858	0.0836792073905476	0.128865979381443	59752	56209	3541	CRISPRessoBatch_on_EMX1_type1_BC1
REP1_type1_EMX1_GCTGC_pegRNA_26	3.53960359939913	0.0481281082736593	0.0845887963597649	68567	66139	2427	CRISPRessoBatch_on_EMX1_type1_BC1
REP1_type1_EMX1_GCTGC_pegRNA_36	2.72611261764237	0.08454298931249	0.0685914818950391	62690	60981	1709	CRISPRessoBatch_on_EMX1_type1_BC1
REP2_type1_EMX1_GCTGC_pegRNA_16	7.37788507565194	0.154009448687798	0.137359778559387	48049	44504	3545	CRISPRessoBatch_on_EMX1_type1_BC1
REP2_type1_EMX1_GCTGC_pegRNA_26	4.66914156684144	0.0382716521872249	0.12246928699912	52258	49817	2440	CRISPRessoBatch_on_EMX1_type1_BC1
REP2_type1_EMX1_GCTGC_pegRNA_36	2.3927178153446	0.0445848040126324	0.0501579045142114	53830	52542	1288	CRISPRessoBatch_on_EMX1_type1_BC1
REP3_type1_EMX1_GCTGC_pegRNA_16	4.4751647161467	0.130870363127651	0.0872469087517675	66478	63503	2975	CRISPRessoBatch_on_EMX1_type1_BC1
REP3_type1_EMX1_GCTGC_pegRNA_26	2.52140191702641	0.0936562522865296	0.0717055681568742	68335	66612	1723	CRISPRessoBatch_on_EMX1_type1_BC1
REP3_type1_EMX1_GCTGC_pegRNA_36	2.41141655023	0.0549476427461262	0.0706469692450194	63697	62159	1536	CRISPRessoBatch_on_EMX1_type1_BC1
REP1_type1_EMX1_GTCAG_pegRNA_16	3.68189874393157	0.0940124836248748	0.15720120212684	64885	62495	2389	CRISPRessoBatch_on_EMX1_type1_BC2
REP1_type1_EMX1_GTCAG_pegRNA_26	1.91117952888553	0.0740654680647129	0.0987539574196172	68858	67542	1316	CRISPRessoBatch_on_EMX1_type1_BC2
REP1_type1_EMX1_GTCAG_pegRNA_36	2.55520110089448	0.0562957402889848	0.0734972164883968	63948	62314	1634	CRISPRessoBatch_on_EMX1_type1_BC2
REP2_type1_EMX1_GTCAG_pegRNA_16	4.27932634042375	0.294621588867065	0.175519244431443	47858	45810	2048	CRISPRessoBatch_on_EMX1_type1_BC2
REP2_type1_EMX1_GTCAG_pegRNA_26	2.72688695780521	0.0479695946569252	0.112544049002786	54201	52723	1478	CRISPRessoBatch_on_EMX1_type1_BC2
REP2_type1_EMX1_GTCAG_pegRNA_36	2.59310722743018	0.166350274967219	0.105681351155645	51097	49772	1325	CRISPRessoBatch_on_EMX1_type1_BC2
REP3_type1_EMX1_GTCAG_pegRNA_16	4.46926616088272	0.0773605135652339	0.143863411191488	73681	70387	3293	CRISPRessoBatch_on_EMX1_type1_BC2
REP3_type1_EMX1_GTCAG_pegRNA_26	1.43429689472355	0.0773163342590255	0.0504922999242616	63376	62467	909	CRISPRessoBatch_on_EMX1_type1_BC2
REP3_type1_EMX1_GTCAG_pegRNA_36	1.33792621436773	0.0948529778842794	0.0499226199390944	60093	59289	804	CRISPRessoBatch_on_EMX1_type1_BC2
