fastq	Accession
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940082
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940081
REP1_type1_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940503
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940448
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33939832
REP1_type1_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33939805
REP1_type1_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940339
REP1_type1_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940283
REP1_type1_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940256
REP1_type1_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33939949
REP1_type1_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940080
REP1_type1_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940069
REP1_type1_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33940058
REP1_type1_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33939935
REP1_type1_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33939924
REP1_type1_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33940053
REP1_type1_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33940042
REP1_type1_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940031
REP1_type1_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940525
REP1_type1_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33940514
REP1_type1_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940502
REP1_type1_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940491
REP1_type1_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33940480
REP1_type1_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939908
REP1_type1_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939897
REP1_type1_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940250
REP1_type1_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940239
REP1_type1_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940228
REP1_type1_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940470
REP1_type1_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940459
REP1_type1_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33939886
REP1_type1_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33939875
REP1_type1_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33939864
REP1_type1_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940442
REP1_type1_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940431
REP1_type1_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940420
REP1_type2_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940409
REP1_type2_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940398
REP1_type2_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33939854
REP1_type2_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33939843
REP1_type2_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33939831
REP1_type2_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940016
REP1_type2_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940005
REP1_type2_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940218
REP1_type2_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940207
REP1_type2_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940196
REP1_type2_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940382
REP1_type2_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940371
REP1_type2_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33939827
REP1_type2_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33939816
REP1_type2_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33939804
REP1_type2_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33939989
REP1_type2_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33939978
REP1_type2_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33940191
REP1_type2_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940180
REP1_type2_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33940169
REP1_type2_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939794
REP1_type2_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940600
REP1_type2_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33940361
REP1_type2_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940350
REP1_type2_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940338
REP1_type2_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940583
REP1_type2_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940572
REP1_type2_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940333
REP1_type2_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940322
REP1_type2_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940311
REP1_type2_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33940159
REP1_type2_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940148
REP1_type2_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940306
REP1_type2_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940294
REP1_type2_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940282
REP1_type2_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940131
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940120
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940109
REP1_type3_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940098
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940087
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940557
REP1_type3_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940546
REP1_type3_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940278
REP1_type3_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940267
REP1_type3_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940255
REP1_type3_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33939964
REP1_type3_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33939957
REP1_type3_EMX1_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939956
REP1_type3_FANCF_GCTGC_pegRNA_RTT_17_R1.fastq.gz	SRR33939955
REP1_type3_FANCF_GCTGC_pegRNA_RTT_27_R1.fastq.gz	SRR33939954
REP1_type3_FANCF_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33939953
REP1_type3_FANCF_GTCAG_pegRNA_RTT_17_R1.fastq.gz	SRR33939952
REP1_type3_FANCF_GTCAG_pegRNA_RTT_27_R1.fastq.gz	SRR33939951
REP1_type3_FANCF_GTCAG_pegRNA_RTT_36_R1.fastq.gz	SRR33939950
REP1_type3_HEK3_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33939948
REP1_type3_HEK3_GCTGC_pegRNA_RTT_24_R1.fastq.gz	SRR33939947
REP1_type3_HEK3_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33939946
REP1_type3_HEK3_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33939945
REP1_type3_HEK3_GTCAG_pegRNA_RTT_24_R1.fastq.gz	SRR33939944
REP1_type3_HEK3_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33939943
REP1_type3_RNF2_GCTGC_pegRNA_RTT_14_R1.fastq.gz	SRR33940535
REP1_type3_RNF2_GCTGC_pegRNA_RTT_22_R1.fastq.gz	SRR33940534
REP1_type3_RNF2_GCTGC_pegRNA_RTT_34_R1.fastq.gz	SRR33940533
REP1_type3_RNF2_GTCAG_pegRNA_RTT_14_R1.fastq.gz	SRR33940532
REP1_type3_RNF2_GTCAG_pegRNA_RTT_22_R1.fastq.gz	SRR33940079
REP1_type3_RNF2_GTCAG_pegRNA_RTT_34_R1.fastq.gz	SRR33940078
REP1_type3_RUNX1_GCTGC_pegRNA_RTT_15_R1.fastq.gz	SRR33940077
REP1_type3_RUNX1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940076
REP1_type3_RUNX1_GCTGC_pegRNA_RTT_35_R1.fastq.gz	SRR33940075
REP1_type3_RUNX1_GTCAG_pegRNA_RTT_15_R1.fastq.gz	SRR33940074
REP1_type3_RUNX1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940073
REP1_type3_RUNX1_GTCAG_pegRNA_RTT_35_R1.fastq.gz	SRR33940072
REP1_type4_AAVS1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940071
REP1_type4_AAVS1_GCTGC_pegRNA_RTT_21_R1.fastq.gz	SRR33940070
REP1_type4_AAVS1_GCTGC_pegRNA_RTT_25_R1.fastq.gz	SRR33940068
REP1_type4_AAVS1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940067
REP1_type4_AAVS1_GTCAG_pegRNA_RTT_21_R1.fastq.gz	SRR33940066
REP1_type4_AAVS1_GTCAG_pegRNA_RTT_25_R1.fastq.gz	SRR33940065
REP1_type4_EMX1_GCTGC_pegRNA_RTT_16_R1.fastq.gz	SRR33940064
REP1_type4_EMX1_GCTGC_pegRNA_RTT_26_R1.fastq.gz	SRR33940063
REP1_type4_EMX1_GCTGC_pegRNA_RTT_36_R1.fastq.gz	SRR33940062
REP1_type4_EMX1_GTCAG_pegRNA_RTT_16_R1.fastq.gz	SRR33940061
REP1_type4_EMX1_GTCAG_pegRNA_RTT_26_R1.fastq.gz	SRR33940060
