sample,cellBC,detection_rate,centroid_z,n_layers,volume
M1-1,M1-1-34,0.8461538461538461,-2.947063759076963,17,1286.4171665794006
M1-1,M1-1-55,0.7692307692307693,-1.8057380881540437,20,1292.9309903999897
M1-1,M1-1-58,0.7692307692307693,0.2269782971619393,20,1975.0898880000088
M1-1,M1-1-66,0.9230769230769231,-1.6986427358053378,20,3202.734100799997
M1-1,M1-1-74,0.5384615384615384,-7.613032581453626,11,1184.0647392000035
M1-1,M1-1-81,0.7692307692307693,-3.362913331012881,18,1263.0903168000011
M1-1,M1-1-93,0.3076923076923077,-7.448016587909545,11,1189.1066925915486
M1-1,M1-1-97,0.6923076923076923,0.7745376052821046,20,1298.4265103999942
M1-1,M1-1-107,0.7692307692307693,-0.808577780965344,20,2298.721060800004
M1-1,M1-1-113,0.46153846153846156,-8.317403708987165,9,616.3775232000004
M1-1,M1-1-115,0.6153846153846154,-6.023749095930035,19,1671.6272735999976
M1-1,M1-1-116,0.5384615384615384,3.31690452755904,20,893.351731200004
M1-1,M1-1-135,0.6153846153846154,-6.317174220635107,13,988.9444823887012
M1-1,M1-1-154,0.9230769230769231,1.6525496620929767,19,2683.462415999996
M1-1,M1-1-159,0.5384615384615384,2.262836376222196,19,1270.234492799995
M1-1,M1-1-166,0.6153846153846154,0.752449985503049,18,1137.2429087999988
M1-1,M1-1-190,0.8461538461538461,1.7903487217363283,16,1826.974068541017
M1-1,M1-1-193,0.23076923076923078,2.3922889430534022,16,1240.0640880000028
M1-1,M1-1-201,0.5384615384615384,3.955525208991937,15,1375.5918642550555
M1-1,M1-1-207,0.5384615384615384,4.692015209125471,14,823.8334032
M1-1,M1-1-230,0.6153846153846154,5.535098328175383,12,1272.5281043657135
M1-1,M1-1-234,0.5384615384615384,6.198426573426571,12,1131.6374784
M1-1,M1-1-237,0.5384615384615384,5.683795979762061,11,803.7747551999979
M1-1,M1-1-243,0.5384615384615384,6.545531178783072,11,1019.5637952
M1-1,M1-1-304,0.6923076923076923,-5.89610410847105,13,843.6644657453288
M1-1,M1-1-318,0.46153846153846156,-4.995282002155435,16,917.8617503999984
M1-1,M1-1-328,0.5384615384615384,-4.212818445662697,18,1363.3286015999904
M1-1,M1-1-332,0.5384615384615384,-6.598655713218824,12,956.6051664000032
M1-1,M1-1-340,0.7692307692307693,0.1513874798591638,20,1841.7685728
M1-1,M1-1-345,0.7692307692307693,-0.6339067926661843,20,2041.2009936000045
M1-1,M1-1-347,0.6923076923076923,-3.5130545931581896,18,1633.763140800004
M1-1,M1-1-348,0.46153846153846156,-4.98020314678351,16,827.790177599999
M1-1,M1-1-353,0.7692307692307693,-5.076779007950066,15,1126.746465599995
M1-1,M1-1-354,0.8461538461538461,-5.549554140127386,16,1164.7754639999928
M1-1,M1-1-356,0.6153846153846154,-3.596229802513462,19,1224.4018559999947
M1-1,M1-1-357,0.38461538461538464,-5.437807616516187,15,1199.177419200002
M1-1,M1-1-361,0.7692307692307693,-5.0521975281272455,17,991.5566736000068
M1-1,M1-1-372,0.7692307692307693,-5.423318594368167,15,1180.7124720000045
M1-1,M1-1-377,0.7692307692307693,-5.215388858245996,15,1195.6053312000122
M1-1,M1-1-378,0.6923076923076923,-5.023688870287502,15,1706.9634671999988
M1-1,M1-1-389,0.6153846153846154,-1.157135171968598,20,1532.315841600003
M1-1,M1-1-393,0.9230769230769231,-0.1711677245456957,20,1264.079510400005
M1-1,M1-1-404,0.6923076923076923,-8.27144677597486,11,646.8776592000024
M1-1,M1-1-408,0.46153846153846156,-7.93877681716298,9,514.8752688
M1-1,M1-1-409,0.7692307692307693,-5.974223335159245,15,1404.545001600001
M1-1,M1-1-418,0.5384615384615384,2.7317573340928543,18,1157.6862431999996
M1-1,M1-1-424,0.5384615384615384,-4.772055566740479,16,818.8874352000003
M1-1,M1-1-429,0.8461538461538461,-0.0708460447729332,20,1278.9723696000028
M1-1,M1-1-433,0.6153846153846154,1.9820142535633865,20,1172.0845055999914
M1-1,M1-1-457,0.6153846153846154,-7.205386669697136,12,967.156564800006
M1-1,M1-1-494,0.6923076923076923,0.237484185794316,20,1216.2684864000023
M1-1,M1-1-498,0.7692307692307693,-1.9783422459893176,20,2466.3893760000046
M1-1,M1-1-510,0.46153846153846156,-7.619087269815853,12,686.3904480000002
M1-1,M1-1-514,0.46153846153846156,-7.145056998691822,12,588.1305504000011
M1-1,M1-1-538,0.7692307692307693,-0.0594354044229944,20,1617.7162223999978
M1-1,M1-1-577,0.7692307692307693,-0.8869761960876712,17,1165.8745680000006
M1-1,M1-1-579,0.7692307692307693,2.800424522412281,18,1760.5447872000034
M1-1,M1-1-584,0.6923076923076923,-1.229368273280305,18,1174.3926239999932
M1-1,M1-1-585,0.6923076923076923,2.367963952921963,17,1511.2809521333345
M1-1,M1-1-588,0.9230769230769231,1.5973089400627567,18,2066.645251200002
M1-1,M1-1-593,0.9230769230769231,2.845572523691695,17,1820.885596800003
M1-1,M1-1-594,0.46153846153846156,3.7074227848101287,17,1085.3651999999986
M1-1,M1-1-595,0.6153846153846154,2.313873585094661,17,1097.235523200001
M1-1,M1-1-600,0.7692307692307693,2.09307803414687,17,1483.845355200008
M1-1,M1-1-603,0.7692307692307693,1.3025188806914787,17,1258.8587664000015
M1-1,M1-1-608,0.6923076923076923,3.831716257563575,17,1740.326846245866
M1-1,M1-1-617,0.9230769230769231,4.081643516593193,16,1982.179108799995
M1-1,M1-1-621,0.46153846153846156,4.543533075493502,16,1094.103076799991
M1-1,M1-1-622,0.9230769230769231,2.383387026556385,16,1262.3209439999982
