mouse,tumor,clone,name,n_cells,n_cells_total,avg_depth,edit_sites,site_edit_frac,detection_rate
M1,M1-T1,1,M1-T1,19029,53284,15.120868148615271,36,64.8524844401958,54.802567374821706
M1,M1-T2,2,M1-T2,7416,15856,17.948556077904634,39,71.01922490082393,55.70858883800358
M1,M1-T3,3,M1-T3,2267,5177,1.114247904719894,42,0.13723829824510175,57.28220977400038
M1,M1-T4,4,M1-T4,4629,11391,12.130265716137394,36,74.78241537460787,57.15989231264448
M2,M2-T1,1,M2-T1,736,2039,7.046195652173913,39,27.27596559971503,50.67717961293242
M2,M2-T2,2-1,M2-T2-1,5347,11569,4.621942314713399,45,4.332376079926637,55.27020074171946
M2,M2-T2,2-1,M2-T2-2,5347,11569,733.8978509893022,63,8.139474414089586,55.27020074171946
M2,M2-T3,3,M2-T3,9,28,1.4444444444444444,42,25.78397212543554,55.61224489795919
M2,M2-T4,4,M2-T4,138,457,4.166666666666667,51,24.023241835303548,52.078774617067836
M2,M2-T5,5,M2-T5,1265,2221,11.91304347826087,36,50.51318172670557,64.69308119465705
M2,M2-T6,6,M2-T6,121,391,5.628099173553719,39,26.899128268991284,48.65237064725555
M3,M3-T1,1,M3-T1,10061,31245,15.007951495875162,42,58.95713084711519,51.230825503509124
