feature,cor,p_value,q_value,rank,clone,dist_cor,feature_type
Aldob,0.01908049597624605,0.008484940387053188,0.02426692950697212,104.0,M1-T1,-0.0034769709253678538,expression
Alox15,0.017521758877389652,0.015645705981350108,0.041432147320982694,100.0,M1-T1,-0.06143079834531533,expression
Ankrd1,0.01078676785873262,0.13676852492397293,0.21975167487784414,67.0,M1-T1,0.023363321257236565,expression
Apoa5,-0.0017620568381005635,0.8079648962692273,0.8546012815742746,23.0,M1-T1,0.01456579123387303,expression
Arg1,0.004801780100877932,0.5077501809920754,0.6068755699689947,41.0,M1-T1,-0.1321043523892878,expression
Arhgef37,0.0063091876071398705,0.38414936214798284,0.5039757686895555,48.0,M1-T1,-0.04366957655421081,expression
Asprv1,-0.004705830260860041,0.5162674568707344,0.6101342672108679,17.0,M1-T1,0.008185280557446434,expression
Azgp1,0.03248186591495495,7.407857336903143e-06,5.0443980913197597e-05,130.0,M1-T1,-0.0268467132105924,expression
Batf3,0.045373976692519274,3.80177913511601e-10,4.181957048627611e-09,138.0,M1-T1,-0.06891282166843604,expression
Bcl11b,0.010981986234937399,0.12980702722328566,0.21093641923783918,68.0,M1-T1,-0.04902393514438966,expression
C1qa,-0.0031535511309331464,0.6635688597989781,0.7435912222802253,19.0,M1-T1,-0.04468283435118221,expression
C1qb,-0.00993224483684629,0.17067014836214167,0.26328338416196556,13.0,M1-T1,-0.06466792838817342,expression
C1qc,-0.005658751522100123,0.4350642209512319,0.5604881405047402,14.0,M1-T1,-0.02583209504166948,expression
Camk4,-0.04687211149297123,9.869663113004793e-11,1.2830562046906231e-09,6.0,M1-T1,0.11332376555424974,expression
Ccl24,0.01421757575850005,0.049853028089378415,0.09752046033572494,83.0,M1-T1,-0.007855793447117718,expression
Ccr2,0.004399105572831828,0.54398330831627,0.6282703644453395,39.0,M1-T1,-0.10733435603071795,expression
Ccr4,0.012595323167760207,0.08231223315015904,0.14531665852435482,74.0,M1-T1,-0.014777048096088593,expression
Ccr9,0.02094750360509921,0.003855556090852398,0.0119857504563455,108.0,M1-T1,-0.04652644486520844,expression
Cd200r3,0.025060523365968514,0.000545605326612483,0.0026903986795029336,123.0,M1-T1,-0.037064235342521616,expression
Cd22,0.0081911097001287,0.2585299076282106,0.3649942906957549,56.0,M1-T1,-0.10219098300170451,expression
Cd247,0.011728183208121799,0.10570546668324123,0.1778339027729823,71.0,M1-T1,-0.03617189358499896,expression
Cd28,0.0071262675852610214,0.3256145965208646,0.431137845393367,49.0,M1-T1,-0.04083373120356136,expression
Cd300e,0.014184543993894913,0.0503867604242075,0.09752046033572494,82.0,M1-T1,0.005551151292292432,expression
Cd3g,0.0006436121115441966,0.9292586103373781,0.942439583533653,29.0,M1-T1,-0.028657310414567403,expression
Cd4,0.01590925830119379,0.028191761355590428,0.06950727368705917,96.0,M1-T1,-0.03097455491979543,expression
Cd79a,0.005363115537466652,0.4594364500765153,0.5768580406349871,45.0,M1-T1,-0.08997531286972757,expression
Cd8a,0.0020216361898885388,0.7803539042015757,0.8327657335882487,32.0,M1-T1,-0.03323914682409086,expression
Cd8b1,0.010258347915989499,0.15705716327348346,0.24954638164564594,66.0,M1-T1,-0.02076085205325566,expression
Cd96,0.024417598796678246,0.0007555584875928821,0.0032740867795691556,121.0,M1-T1,-0.036173005134288984,expression
Chil1,0.015617943369796985,0.03120747862415816,0.07437782405424362,94.0,M1-T1,-0.08380859434181939,expression
Chst3,-0.005306140058254975,0.4642198625349115,0.5772473073260204,15.0,M1-T1,-0.047123633975145136,expression
Cldn4,0.09186862185579485,5.996354442245833e-37,2.1436967131028854e-35,142.0,M1-T1,0.0035325001975489412,expression
Cldn5,0.016289645583582146,0.02463446276157195,0.0627968618354352,98.0,M1-T1,0.00914013529646049,expression
Clec14a,0.01274065268072389,0.0788371558210622,0.14270523142293537,76.0,M1-T1,-0.005291198561689665,expression
Col5a2,0.007874219871137515,0.2774083022165178,0.38143641554771196,53.0,M1-T1,-0.01596400408597013,expression
Col6a6,0.022557876675582175,0.0018585452738601564,0.006327904146714343,112.0,M1-T1,-0.023887983552282555,expression
Cpa3,0.012280422891642183,0.090268437405872,0.15552272950650237,72.0,M1-T1,-0.008086071014868409,expression
Cr2,0.02280797355877575,0.0016525809823132662,0.006022720091591189,116.0,M1-T1,-0.05197721276624246,expression
Csrp3,0.0031333554099925837,0.6655921430200619,0.7435912222802253,35.0,M1-T1,-0.006648025549035831,expression
Cxcl14,0.0024101914645627484,0.7395464313024261,0.8072911425667706,33.0,M1-T1,-0.02410069400621669,expression
Cxcl3,0.014561946679039891,0.04456560420452396,0.09371884413598422,87.0,M1-T1,0.02937437429434177,expression
Cxcr2,0.0031902350761564262,0.6599000002336727,0.7435912222802253,36.0,M1-T1,-0.020944893034175453,expression
Cyp11a1,0.019254678060656505,0.007903360886010239,0.023064910340805392,105.0,M1-T1,-0.015271708679237668,expression
Cyp2j5,0.021867093795017098,0.002555992366787044,0.008500160661640634,111.0,M1-T1,-0.007113721403702616,expression
Cyp4b1,0.017527908704833645,0.015609272031705684,0.041432147320982694,101.0,M1-T1,-0.04052554469919709,expression
Dab2,0.005357903932024776,0.45987284358313657,0.5768580406349871,44.0,M1-T1,-0.044026041609371215,expression
Ebf1,0.00820295616990621,0.25784186319185254,0.3649942906957549,57.0,M1-T1,-0.05036743314876561,expression
Enpp1,0.013686865778939981,0.059024892952003125,0.10961765833943438,78.0,M1-T1,-0.018115655749768006,expression
Eomes,0.02347066614146039,0.0012040904013964657,0.004919569354276988,119.0,M1-T1,-0.035815163665057326,expression
Fasl,0.008159952749855462,0.2603455779787902,0.3649942906957549,55.0,M1-T1,-0.023769939695219008,expression
Fcer1a,0.009679432026778824,0.18181776123848023,0.273683577443186,62.0,M1-T1,-0.00808242215672315,expression
Fcer2a,0.015447451262965366,0.03309773394479508,0.07700393674096342,93.0,M1-T1,-0.07423862269088279,expression
Fcmr,0.022664196577187143,0.0017682632149698795,0.006167357066846165,113.0,M1-T1,-0.06186279809483192,expression
Fermt1,0.036819872012581106,3.763836437974895e-07,2.9901589479467216e-06,133.0,M1-T1,-0.02695697992486259,expression
Fgfbp1,0.02948741661048386,4.73618614687793e-05,0.0002821977579181433,128.0,M1-T1,0.012494004718644747,expression
Flt3,0.0026215727523216056,0.7176424443835319,0.789406688821885,34.0,M1-T1,-0.07740575390129842,expression
Foxp3,0.011015609569804775,0.12863628455510492,0.21093641923783918,69.0,M1-T1,-0.022543162621702657,expression
Fscn1,0.009604171561579118,0.18523844817118407,0.27592810508832627,61.0,M1-T1,0.020444514870207674,expression
Ftcd,-0.00037113487025325787,0.9591716688800501,0.9591716688800501,28.0,M1-T1,0.000916600321782114,expression
Fxyd3,-0.0004917997983244681,0.9459152416570631,0.9525766165983099,27.0,M1-T1,-0.022036084111067666,expression
Fzd2,0.03631864526191735,5.405712293936821e-07,4.06850977912087e-06,132.0,M1-T1,0.004847780922141906,expression
Galnt18,0.007242337099893555,0.31779647967944863,0.431137845393367,52.0,M1-T1,-0.06975957898411814,expression
Gata2,0.01736095888311679,0.016625272281648628,0.04322570793228643,99.0,M1-T1,-0.041661611634571494,expression
Gjb1,0.01624498305769672,0.025030916955383262,0.0627968618354352,97.0,M1-T1,-0.02800099614954794,expression
Gpihbp1,0.004784640360439922,0.5092662125613941,0.6068755699689947,40.0,M1-T1,0.05379012271395363,expression
Gpr39,0.04016027150219113,2.993677453540658e-08,2.5182110344489063e-07,134.0,M1-T1,-0.05902558317846267,expression
Grm6,0.004390255205806092,0.5447938824560985,0.6282703644453395,38.0,M1-T1,-0.010439212707992857,expression
Gzma,0.008075940655964632,0.26528528037388766,0.3683086902278246,54.0,M1-T1,-0.014438284503484161,expression
Gzmb,0.022782561165677073,0.001672507156855635,0.006022720091591189,115.0,M1-T1,0.0030004678257845494,expression
Havcr2,0.013931681542002385,0.05463322476884878,0.10279672555191283,79.0,M1-T1,-0.07765882034941253,expression
Hoxa10,0.02986155479546631,3.7900492241248826e-05,0.00023564219089124272,129.0,M1-T1,0.04659733446710254,expression
Hpd,0.03417107718262965,2.4192652309641274e-06,1.729774640139351e-05,131.0,M1-T1,-0.010721072348581055,expression
Htr1b,0.01838068163118796,0.011226046982145929,0.03147695526366407,103.0,M1-T1,0.004900765941214083,expression
Ibsp,0.021197150768569616,0.0034535277520058865,0.01122396519401913,110.0,M1-T1,-0.014830971424777429,expression
Ifng,0.003324068575639854,0.6465847032452705,0.7396929005125894,37.0,M1-T1,-0.008548892548552133,expression
Ighd,0.014131432307321563,0.051254982243661235,0.09772616614458075,80.0,M1-T1,-0.08838563979632624,expression
Inava,-0.002280306527738885,0.7531123902322505,0.8097373819790362,22.0,M1-T1,0.07614258949908485,expression
Itgax,0.0011014038040533965,0.8792469421460261,0.9111037154121865,31.0,M1-T1,-0.03196954697639729,expression
Itk,0.011067640435686314,0.12684079705454152,0.21090969742790044,70.0,M1-T1,-0.05093723443898081,expression
Klhl14,0.005225318789875122,0.4710525612392973,0.5806941056656855,43.0,M1-T1,-0.019738998532928043,expression
Klrb1c,0.009195485641315265,0.20464777043198082,0.3005400192113928,60.0,M1-T1,-0.02206338793156664,expression
Klrk1,0.02938059185936745,5.0449804936303474e-05,0.0002885728842356559,127.0,M1-T1,-0.05244152100670485,expression
Krt79,0.01277731067481707,0.07797971245152838,0.14270523142293537,77.0,M1-T1,0.006183299511735887,expression
Ldb2,0.009871531245739999,0.1732993914229437,0.26363630822852074,63.0,M1-T1,-0.020445078384538587,expression
Mat1a,0.014593773287971137,0.04410175777438502,0.09371884413598422,88.0,M1-T1,-0.048667610728883856,expression
Mmp12,0.007160856667839445,0.3232717992590077,0.431137845393367,51.0,M1-T1,0.03525839249873911,expression
Mrc1,0.0008798062404586444,0.9034078883528338,0.9283122464824344,30.0,M1-T1,0.019015654821369923,expression
Ms4a1,-0.0023118982690274103,0.7498055551920075,0.8097373819790362,21.0,M1-T1,-0.06704780472269754,expression
Ms4a2,0.007151165605888224,0.32392708630933986,0.431137845393367,50.0,M1-T1,-0.02412432760801924,expression
Ms4a4b,0.01819586927877003,0.012070252803289157,0.03319319520904518,102.0,M1-T1,-0.044056019232463516,expression
Ms4a7,0.01566825374844685,0.030667696469880008,0.07433017957953968,95.0,M1-T1,-0.026029703830316372,expression
Ncr1,0.009168804834072673,0.20596448869032513,0.3005400192113928,59.0,M1-T1,-0.02490170463967078,expression
Nes,0.05295359916301245,2.6840459357728745e-13,4.2646507646169e-12,139.0,M1-T1,-0.0011408039083791498,expression
Pacsin1,0.01542215997185937,0.03338632222335477,0.07700393674096342,92.0,M1-T1,-0.06685838688913597,expression
Pax5,0.00566890719862508,0.43424046079939627,0.5604881405047402,47.0,M1-T1,-0.0851700610405366,expression
Plcb1,0.029203657398359038,5.5987966395024766e-05,0.0003079338151726362,126.0,M1-T1,-0.07708234969382878,expression
Pld4,-0.012176647658344862,0.09302204714441993,0.15835896121014345,12.0,M1-T1,-0.10619441684074893,expression
Pou2af1,0.010102015833657971,0.1634767848159676,0.256892090425092,65.0,M1-T1,-0.09127343579377539,expression
Prdm1,-0.0012986149507419262,0.8578383116218702,0.8954078727147988,25.0,M1-T1,0.0025420162045505443,expression
Prex2,0.012597546402673526,0.08225815143059367,0.14531665852435482,75.0,M1-T1,-0.03319770007519164,expression
Prss34,0.00991934529684713,0.17122625683260695,0.26328338416196556,64.0,M1-T1,-0.010204898208662574,expression
